global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
267,3,67,permuted-mnist-task3-npz,0,0,1,2,1,none,1,0,0.924795234549516,0.9250434350955572,0.000248200546041244,0.13133940182054615,0.13567403554399654,0.0043346337234503735,0.003676470588235295,0.003676470588235295,3,"{""1"": 0.12136974425661032, ""2"": 0.14130905938448202, ""3"": 0.924795234549516}","{""1"": 0.12180320762895536, ""2"": 0.14954486345903772, ""3"": 0.9250434350955572}","{""1"": 0.00043346337234503873, ""2"": 0.008235804074555708, ""3"": 0.000248200546041244}",nan,nan,nan,nan,90.24650802612305,13.320299379227476,109.39536666870117,13.313668365656072,nan,nan,109.8962173461914,13.313838220866845,97.61392478942871,13.313838220866845,nan,nan,8,0.9095706494864378,0.0,0.9095645964567602,0.0033183248230413322,0.9999933451781002
268,3,68,permuted-mnist-task3-npz,0,0,1,4,1,none,1,0,0.9250434350955572,0.08289898237776124,-0.8421444527177959,0.13567403554399654,0.05093194625054183,-0.08474208929345471,0.028125000000000008,0.046875,3,"{""1"": 0.12180320762895536, ""2"": 0.14954486345903772, ""3"": 0.9250434350955572}","{""1"": 0.012570437798006068, ""2"": 0.08929345470307759, ""3"": 0.08289898237776124}","{""1"": -0.10923276983094929, ""2"": -0.060251408755960134, ""3"": -0.8421444527177959}",nan,nan,nan,nan,97.94123764038086,13.313838220866845,92.7287826538086,13.409855555312502,nan,nan,93.70069122314453,13.412595160076126,91.93051681518554,13.412595160076126,nan,nan,8,1.954481472973998,0.0,1.954395104378969,0.018374008221615765,0.9999558099694351
269,3,69,permuted-mnist-task3-npz,0,0,1,0,1,none,1,0,0.08289898237776124,0.934723256391164,0.8518242740134028,0.05093194625054183,0.13870827915041178,0.08777633289986995,0.35258358662613987,0.00303951367781155,3,"{""1"": 0.012570437798006068, ""2"": 0.08929345470307759, ""3"": 0.08289898237776124}","{""1"": 0.12527091460771564, ""2"": 0.15214564369310793, ""3"": 0.934723256391164}","{""1"": 0.11270047680970957, ""2"": 0.06285218899003034, ""3"": 0.8518242740134028}",nan,nan,nan,nan,93.16718139648438,13.412595160076126,74.9250602722168,13.285724270048007,nan,nan,75.27136993408203,13.285984289936055,94.19284133911134,13.285984289936055,nan,nan,8,1.8245323904145363,0.0,1.8245247088066205,0.005294395706652737,0.9999957898204733
270,3,70,permuted-mnist-task3-npz,0,0,1,1,1,none,1,0,0.934723256391164,0.9302556465624224,-0.004467609828741614,0.13870827915041178,0.13892501083658432,0.00021673168617253324,-0.008,0.008,3,"{""1"": 0.12527091460771564, ""2"": 0.15214564369310793, ""3"": 0.934723256391164}","{""1"": 0.129172084958821, ""2"": 0.14867793671434765, ""3"": 0.9302556465624224}","{""1"": 0.0039011703511053486, ""2"": -0.003467706978760282, ""3"": -0.004467609828741614}",nan,nan,nan,nan,92.6255069732666,13.285984289936055,102.44336700439453,13.296934614806684,nan,nan,102.81720733642578,13.297062340148265,93.37482261657715,13.297062340148265,nan,nan,8,0.9416703121184046,0.0,0.9416658777531481,0.00288987898823687,0.9999952909567188
271,3,71,permuted-mnist-task3-npz,0,0,1,2,1,none,1,0,0.9302556465624224,0.9262844378257632,-0.0039712087366592375,0.13892501083658432,0.13480710879930646,-0.004117902037277854,0.0024509803921568636,0.0024509803921568636,3,"{""1"": 0.129172084958821, ""2"": 0.14867793671434765, ""3"": 0.9302556465624224}","{""1"": 0.1222366710013004, ""2"": 0.14737754659731253, ""3"": 0.9262844378257632}","{""1"": -0.006935413957520592, ""2"": -0.0013003901170351162, ""3"": -0.0039712087366592375}",nan,nan,nan,nan,89.60757675170899,13.297062340148265,113.27146911621094,13.313649216970322,nan,nan,113.68759155273438,13.313827372908703,103.3919075012207,13.313827372908703,nan,nan,8,0.7441012071141181,0.0,0.7440936256444795,0.003358973643973247,0.9999898112372805
272,3,72,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9262844378257632,0.9245470340034748,-0.0017374038222883748,0.13480710879930646,0.13025574338968357,-0.004551365409622893,0.004716981132075474,0.004716981132075474,3,"{""1"": 0.1222366710013004, ""2"": 0.14737754659731253, ""3"": 0.9262844378257632}","{""1"": 0.12136974425661032, ""2"": 0.13914174252275682, ""3"": 0.9245470340034748}","{""1"": -0.0008669267446900775, ""2"": -0.008235804074555708, ""3"": -0.0017374038222883748}",nan,nan,nan,nan,99.24962310791015,13.313827372908703,107.5580062866211,13.32357025337424,nan,nan,107.65987396240234,13.323944677061903,95.88290863037109,13.323944677061903,nan,nan,8,0.9197892724566923,0.0,0.9197753335979372,0.0050637368824565975,0.9999848455943415
273,3,73,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9245470340034748,0.9242988334574336,-0.000248200546041244,0.13025574338968357,0.13025574338968357,0.0,0.0,0.0,3,"{""1"": 0.12136974425661032, ""2"": 0.13914174252275682, ""3"": 0.9245470340034748}","{""1"": 0.12136974425661032, ""2"": 0.13914174252275682, ""3"": 0.9242988334574336}","{""1"": 0.0, ""2"": 0.0, ""3"": -0.000248200546041244}",nan,nan,nan,nan,90.69796524047851,13.323944677061903,103.04827880859375,13.323944677061903,nan,nan,103.22358703613281,13.324273725757209,90.91973037719725,13.324273725757209,nan,nan,8,0.004983440016122574,0.0,0.0023582347223046083,0.004390148447240557,0.4732142283647365
274,3,74,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9242988334574336,0.9238024323653512,-0.0004964010920823769,0.13025574338968357,0.13047247507585608,0.00021673168617251937,0.0,0.0,3,"{""1"": 0.12136974425661032, ""2"": 0.13914174252275682, ""3"": 0.9242988334574336}","{""1"": 0.12180320762895536, ""2"": 0.13914174252275682, ""3"": 0.9238024323653512}","{""1"": 0.00043346337234503873, ""2"": 0.0, ""3"": -0.0004964010920823769}",nan,nan,nan,nan,95.16839179992675,13.324273725757209,105.24008178710938,13.324273725757209,nan,nan,105.2809829711914,13.32457315830355,95.506356048584,13.32457315830355,nan,nan,8,0.004479651212705039,0.0,0.002093123589792067,0.003960569229965018,0.4672514644417778
275,3,75,permuted-mnist-task3-npz,0,0,1,4,1,none,1,0,0.9238024323653512,0.08240258128567883,-0.8413998510796724,0.13047247507585608,0.04768097095795405,-0.08279150411790204,0.025,0.04583333333333334,3,"{""1"": 0.12180320762895536, ""2"": 0.13914174252275682, ""3"": 0.9238024323653512}","{""1"": 0.012570437798006068, ""2"": 0.08279150411790204, ""3"": 0.08240258128567883}","{""1"": -0.10923276983094929, ""2"": -0.056350238404854786, ""3"": -0.8413998510796724}",nan,nan,nan,nan,96.31737365722657,13.32457315830355,85.60610961914062,13.42430716133935,nan,nan,87.09832000732422,13.427026447101177,96.65718307495118,13.427026447101177,nan,nan,8,1.9579166594427062,0.0,1.9578571975123678,0.015259078356954617,0.9999696299987787
276,3,76,permuted-mnist-task3-npz,0,0,1,4,1,none,1,0,0.08240258128567883,0.08240258128567883,0.0,0.04768097095795405,0.047247507585609014,-0.00043346337234503873,0.0,0.0,3,"{""1"": 0.012570437798006068, ""2"": 0.08279150411790204, ""3"": 0.08240258128567883}","{""1"": 0.012570437798006068, ""2"": 0.08192457737321196, ""3"": 0.08240258128567883}","{""1"": 0.0, ""2"": -0.0008669267446900775, ""3"": 0.0}",nan,nan,nan,nan,94.94517288208007,13.427026447101177,92.04710388183594,13.427026447101177,nan,nan,93.14225006103516,13.429405479744132,95.50397567749023,13.429405479744132,nan,nan,8,0.016108518885395075,0.0,0.009361944029288135,0.013108714073989332,0.5811796910264072
