exp_id,run_name,seed,freeze_mask,personalization_enabled,probe_enabled,final_acc_current_after,final_acc_old_mean_after,min_delta_agg_old_mean,mean_delta_agg_old_mean_switch_window,max_update_P_norm_mean,max_update_S_norm_mean,probe_rows,pers_rows,local_eval_rows,theory_rows
A,A_Full_FedALA,0,none,1,1,0.8781967923710446,0.3509608438086982,-0.3506718682271348,-0.0810014609321068,1.8454094216173125,5.14555653318992,45,9000,10000,14400
B,B_No_Pers,0,none,0,1,0.8955353272648461,0.20762895535327264,-0.3667100130039012,-0.08304034420202605,2.755038924510125,9.476558559945548,45,9000,10000,14400
C,C_Freeze_P,0,freeze_P,1,0,0.9215431296055483,0.4672735153879497,-0.140442132639792,-0.02533352598372105,0.0,5.37640163763064,0,9000,10000,14400
D,D_Freeze_S,0,freeze_S,1,0,0.5413957520589511,0.36931079323797134,-0.08235804074555697,-0.019578095650917494,4.219531486937363,2.0882305918099164e-07,0,9000,10000,14400
