seed,switch,src_dataset,dst_dataset,lambda_G,delta_G_sq,B_G,F_global,global_loss_src,global_loss_dst_on_src
0,1->2,permuted-mnist-task1-npz,permuted-mnist-task2-npz,2.3752851486206055,40.64516067504883,48.27192325737087,0.10896215249571634,0.33990695383957886,0.4488691063352952
0,2->3,permuted-mnist-task2-npz,permuted-mnist-task3-npz,2.2377591133117676,25.27898406982422,28.28413848875607,2.2604188019187004,0.2667068433274503,2.5271256452461506
0,3->4,permuted-mnist-task3-npz,permuted-mnist-task4-npz,9.245052337646484,29.66230583190918,137.11478493563845,0.12374121181415977,0.11660585556766946,0.24034706738182923
1,1->2,permuted-mnist-task1-npz,permuted-mnist-task2-npz,5.002445697784424,44.838157653808594,112.15022442593727,0.31844073599309386,0.4369317480771858,0.7553724840702797
1,2->3,permuted-mnist-task2-npz,permuted-mnist-task3-npz,4.71045446395874,36.4611930847168,85.87439486358289,2.2951926792132338,0.340731816312848,2.6359244955260817
1,3->4,permuted-mnist-task3-npz,permuted-mnist-task4-npz,19.129135131835938,120.88114929199219,1156.1759198490763,1.1703720678717258,0.0865600563165471,1.256932124188273
