seed,switch_idx,client_id,n_c,F_local,baseline_loss,loss_i_on_local_j,lambda_G,lambda_L,delta_G_sq,delta_P_sq,delta_L_sq,cos_G_P,B_G,B_P,B_L,local_i_steps,local_j_steps,F_global
0.0,1.0,1.0,374.0,0.15988390029712382,0.0019025921748328848,0.1617864924719567,2.3752851486206055,1.3945813179016113,40.64516067504883,1.3536971807479858,42.45246887207031,0.03057930058635812,48.27192325737087,0.9439203991836109,29.601709993894474,14.0,11.0,0.10896215249571634
0.0,1.0,6.0,942.0,0.1372108743603513,0.0014335678626512915,0.13864444222300257,2.3752851486206055,1.592862606048584,40.64516067504883,1.8026660680770874,43.219974517822266,0.045106691548208865,48.27192325737087,1.4356996855163118,34.42174062190588,12.0,11.0,0.10896215249571634
0.0,1.0,7.0,951.0,0.16571794999711573,0.0006999980931114403,0.16641794809022717,2.3752851486206055,1.0640305280685425,40.64516067504883,3.6682486534118652,45.424442291259766,0.04549868097507084,48.27192325737087,1.9515642758882734,24.16649665919408,14.0,13.0,0.10896215249571634
0.0,1.0,2.0,1222.0,0.03536797920736127,0.0010344207022767544,0.03640239990963802,2.3752851486206055,1.3343868255615234,40.64516067504883,0.9281368851661682,41.57724380493164,0.00032160973530961164,48.27192325737087,0.6192468159417217,27.740063188230124,7.0,7.0,0.10896215249571634
0.0,1.0,4.0,1437.0,0.12574132222376933,0.00076143473627261,0.12650275696004193,2.3752851486206055,1.1294914484024048,40.64516067504883,2.51895809173584,44.32406997680664,0.057324678360588674,48.27192325737087,1.4225708117498357,25.03182899859644,12.0,9.0,0.10896215249571634
0.0,1.0,3.0,1905.0,0.013137921205745246,0.0011533211187733457,0.014291242324518592,2.3752851486206055,0.9925199747085571,40.64516067504883,0.6169058680534363,41.40227127075195,0.014001212987772387,48.27192325737087,0.30614569827897853,20.546290617261775,6.0,6.0,0.10896215249571634
0.0,1.0,0.0,1972.0,0.10376801852816922,0.0008070476296212534,0.10457506615779047,2.3752851486206055,1.040156364440918,40.64516067504883,1.9055702686309814,43.41276168823242,0.04897933926437087,48.27192325737087,0.9910455214029525,22.578030183985902,10.0,7.0,0.10896215249571634
0.0,1.0,5.0,4641.0,0.022129113604335327,0.0005019448571731883,0.022631058461508514,2.3752851486206055,2.437499523162842,40.64516067504883,0.4150431752204895,41.13630676269531,0.00926605399864596,48.27192325737087,0.5058337708459675,50.134864059375104,6.0,6.0,0.10896215249571634
0.0,2.0,1.0,374.0,7.53020685075883,0.0018979882193295992,7.53210483897816,2.2377591133117676,0.934878408908844,25.27898406982422,1.0733855962753296,26.606033325195312,0.024350006142813175,28.28413848875607,0.5017425091957755,12.436703051217137,10.0,6.0,2.2604188019187004
0.0,2.0,6.0,942.0,2.5409289626274996,0.0008486266379551915,2.541777589265455,2.2377591133117676,0.9543923735618591,25.27898406982422,1.6534276008605957,27.709705352783203,0.06012023519636923,28.28413848875607,0.7890093462490171,13.222965731171257,12.0,12.0,2.2604188019187004
0.0,2.0,7.0,951.0,7.876589851439965,0.0010773329424924414,7.8776671843824575,2.2377591133117676,0.6816836595535278,25.27898406982422,3.6798088550567627,31.7970027923584,0.14714962978243018,28.28413848875607,1.2542327833862856,10.837748613164308,9.0,7.0,2.2604188019187004
0.0,2.0,2.0,1222.0,7.55075168483341,0.0005422595425840872,7.5512939443759945,2.2377591133117676,0.4384951591491699,25.27898406982422,1.0158343315124512,26.650285720825195,0.035076162654737925,28.28413848875607,0.22271921843287146,5.843010639262047,7.0,7.0,2.2604188019187004
0.0,2.0,4.0,1437.0,7.327477315436055,0.0011644658764667754,7.3286417813125215,2.2377591133117676,0.745966911315918,25.27898406982422,1.9691743850708008,27.85828971862793,0.04324217515685171,28.28413848875607,0.7344694669368437,10.390681167974435,8.0,9.0,2.2604188019187004
0.0,2.0,3.0,1905.0,4.992104287536446,0.00022839123088150344,4.992332678767327,2.2377591133117676,0.7217650413513184,25.27898406982422,0.7715873718261719,26.254533767700195,0.023093317524207416,28.28413848875607,0.278452395666136,9.474802325251858,7.0,6.0,2.2604188019187004
