seed,task_id,dataset,rounds_trained,best_acc,history_acc_json
0,1,permuted-mnist-task1-npz,15,0.8662803655003343,"[0.08647203030978381, 0.38199242255404503, 0.5152663249387118, 0.6485402273233787, 0.6813015377757967, 0.6946735012257633, 0.7122799197682192, 0.7316692667706708, 0.742812569645643, 0.765990639625585, 0.8003120124804992, 0.8243815466904391, 0.8364163137954089, 0.822821484287943, 0.8457766882103855, 0.8662803655003343]"
0,2,permuted-mnist-task2-npz,15,0.8863383106752841,"[0.34655671941163363, 0.5720971696010697, 0.6489859594383776, 0.7116113215957209, 0.770002228660575, 0.8005348785379987, 0.822375752172944, 0.8337419211054157, 0.8491196790728772, 0.8564742589703588, 0.8604858480053488, 0.8638288388678405, 0.8720748829953198, 0.8743035435703143, 0.8863383106752841, 0.8854468464452864]"
0,3,permuted-mnist-task3-npz,7,0.9622458857696031,"[0.04757294979947448, 0.8016871801963767, 0.9343106071082837, 0.9550546259161942, 0.9622458857696031, 0.9615544184760061, 0.9619692988521643, 0.9627990596044808]"
0,4,permuted-mnist-task4-npz,14,0.968054211035818,"[0.22818420688701424, 0.8444198589406721, 0.9181302724381136, 0.9463421380168718, 0.9521504632830867, 0.9590651362190569, 0.9586502558428986, 0.9592034296777763, 0.9626607661457613, 0.9654266353201494, 0.965979809155027, 0.968054211035818, 0.9694371456230121, 0.9695754390817314, 0.9699903194578896]"
1,1,permuted-mnist-task1-npz,15,0.841987965232895,"[0.10452418096723869, 0.38199242255404503, 0.4818364163137954, 0.6197905059059505, 0.6683753064408291, 0.6821930020057945, 0.6986850902607533, 0.7227546244706932, 0.7412525072431468, 0.7579674615556051, 0.7800312012480499, 0.7938488968130154, 0.8165812346779585, 0.8364163137954089, 0.841987965232895, 0.8277245375529307]"
1,2,permuted-mnist-task2-npz,15,0.867171829730332,"[0.18497882772453755, 0.516380655226209, 0.6418542455983953, 0.6877646534432806, 0.715177178515712, 0.7461555605081346, 0.7688878983730778, 0.7980833519055048, 0.8210385558279474, 0.8281702696679296, 0.8455538221528861, 0.8520169378203699, 0.8631602406953421, 0.8602629819478493, 0.8651660352128371, 0.867171829730332]"
1,3,permuted-mnist-task3-npz,11,0.9622458857696031,"[0.06776379477250725, 0.7754114230396902, 0.9314064444751763, 0.9457889641819942, 0.950214354861015, 0.9511824090720509, 0.9542248651638777, 0.9571290277969852, 0.9622458857696031, 0.9605863642649702, 0.9637671138155165, 0.9637671138155165]"
1,4,permuted-mnist-task4-npz,14,0.9622458857696031,"[0.3364679850643065, 0.30894758677914536, 0.9157792836398838, 0.9301618033467017, 0.9390125847047435, 0.9475867791453464, 0.9515972894482091, 0.9540865717051583, 0.9556077997510718, 0.95602268012723, 0.9593417231364957, 0.9622458857696031, 0.9630756465219195, 0.9634905268980777, 0.9636288203567971]"
