global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
340,4,40,permuted-mnist-task4-npz,0,0,1,2,0,none,1,0,0.9178456192603623,0.9175974187143212,-0.00024820054604113295,0.3433599038096471,0.3500961763667679,0.006736272557120841,0.0,0.0,4,"{""1"": 0.08365843086259211, ""2"": 0.07498916341569137, ""3"": 0.8714321171506577, ""4"": 0.9178456192603623}","{""1"": 0.08799306458604247, ""2"": 0.08019072388383182, ""3"": 0.8821047406304294, ""4"": 0.9175974187143212}","{""1"": 0.00433463372345036, ""2"": 0.005201560468140451, ""3"": 0.010672623479771715, ""4"": -0.00024820054604113295}",nan,nan,nan,nan,33.96851132710775,23.281549667643244,30.06557273864746,23.281549667643244,nan,nan,25.547910690307617,23.29595111331341,29.67466316223145,23.29595111331341,nan,nan,12,0.3794821637448298,0.0,0.08208046950204625,0.3704990001697461,0.2162959879111005
341,4,41,permuted-mnist-task4-npz,0,0,1,1,0,none,1,0,0.9175974187143212,0.9146190121618267,-0.0029784065524944836,0.3500961763667679,0.3672122237316516,0.01711604736488372,0.0,0.0,4,"{""1"": 0.08799306458604247, ""2"": 0.08019072388383182, ""3"": 0.8821047406304294, ""4"": 0.9175974187143212}","{""1"": 0.10143042912873862, ""2"": 0.11140008669267447, ""3"": 0.8888061553735418, ""4"": 0.9146190121618267}","{""1"": 0.013437364542696145, ""2"": 0.03120936280884265, ""3"": 0.006701414743112366, ""4"": -0.0029784065524944836}",nan,nan,nan,nan,30.260766092936198,23.29595111331341,29.76831817626953,23.29595111331341,nan,nan,23.577598730723064,23.296714539449482,26.246502113342288,23.296714539449482,nan,nan,12,0.6289915319162275,0.0,0.14974836518314566,0.6109057000448579,0.2380769177077759
342,4,42,permuted-mnist-task4-npz,0,0,1,1,0,none,1,0,0.9146190121618267,0.91734921816828,0.0027302060064532396,0.3672122237316516,0.36343692882002104,-0.00377529491163058,0.0,0.0,4,"{""1"": 0.10143042912873862, ""2"": 0.11140008669267447, ""3"": 0.8888061553735418, ""4"": 0.9146190121618267}","{""1"": 0.09406155179887299, ""2"": 0.10446467273515388, ""3"": 0.8917845619260363, ""4"": 0.91734921816828}","{""1"": -0.007368877329865631, ""2"": -0.006935413957520592, ""3"": 0.0029784065524944836, ""4"": 0.0027302060064532396}",nan,nan,nan,nan,26.857952658335364,23.296714539449482,22.164247274398804,23.296714539449482,nan,nan,21.949783484141033,23.301119898698506,28.04579712549845,23.301119898698506,nan,nan,12,0.17512822914973533,0.0,0.05614270044533421,0.1658851826771387,0.3205805295787659
343,4,43,permuted-mnist-task4-npz,0,0,1,0,0,none,1,0,0.91734921816828,0.9183420203524447,0.0009928021841647539,0.36343692882002104,0.34425372701576334,-0.019183201804257675,0.0,0.0,4,"{""1"": 0.09406155179887299, ""2"": 0.10446467273515388, ""3"": 0.8917845619260363, ""4"": 0.91734921816828}","{""1"": 0.07975726051148678, ""2"": 0.07238838318162115, ""3"": 0.8806155373541822, ""4"": 0.9183420203524447}","{""1"": -0.014304291287386209, ""2"": -0.03207628955353273, ""3"": -0.011169024571854091, ""4"": 0.0009928021841647539}",nan,nan,nan,nan,28.172308444976807,23.301119898698506,21.63108030954997,23.301119898698506,nan,nan,23.031310081481934,23.31310131196575,30.08492660522461,23.31310131196575,nan,nan,12,0.5440269402599937,0.0,0.12740523879721635,0.5288981157611312,0.23418920896839127
344,4,44,permuted-mnist-task4-npz,0,0,1,1,0,none,1,0,0.9183420203524447,0.9138744105237031,-0.004467609828741614,0.34425372701576334,0.3656624496242726,0.021408722608509193,0.0,0.0,4,"{""1"": 0.07975726051148678, ""2"": 0.07238838318162115, ""3"": 0.8806155373541822, ""4"": 0.9183420203524447}","{""1"": 0.1035977459904638, ""2"": 0.1070654529692241, ""3"": 0.8863241499131298, ""4"": 0.9138744105237031}","{""1"": 0.02384048547897702, ""2"": 0.034677069787602946, ""3"": 0.005708612558947612, ""4"": -0.004467609828741614}",nan,nan,nan,nan,28.97100423177083,23.31310131196575,28.04867426554362,23.31310131196575,nan,nan,25.15152708689372,23.330393084106024,28.899559195836385,23.330393084106024,nan,nan,12,0.6049194850734935,0.0,0.22315760371775573,0.5622528499923585,0.36890463809456353
345,4,45,permuted-mnist-task4-npz,0,0,1,2,0,none,1,0,0.9138744105237031,0.9180938198064036,0.0042194092827004814,0.3656624496242726,0.3488785197650799,-0.01678392985919272,0.0,0.0,4,"{""1"": 0.1035977459904638, ""2"": 0.1070654529692241, ""3"": 0.8863241499131298, ""4"": 0.9138744105237031}","{""1"": 0.08409189423493715, ""2"": 0.08019072388383182, ""3"": 0.8823529411764706, ""4"": 0.9180938198064036}","{""1"": -0.019505851755526646, ""2"": -0.026874729085392277, ""3"": -0.0039712087366592375, ""4"": 0.0042194092827004814}",nan,nan,nan,nan,30.7332935333252,23.330393084106024,31.267531712849934,23.330393084106024,nan,nan,25.77017593383789,23.34234532252657,27.804138374328613,23.34234532252657,nan,nan,12,0.9253698867467398,0.0,0.22205211191359975,0.8983330601132212,0.2399603824304391
346,4,46,permuted-mnist-task4-npz,0,0,1,2,0,none,1,0,0.9180938198064036,0.918590220898486,0.0004964010920823769,0.3488785197650799,0.35643621025415756,0.007557690489077719,0.0,0.0,4,"{""1"": 0.08409189423493715, ""2"": 0.08019072388383182, ""3"": 0.8823529411764706, ""4"": 0.9180938198064036}","{""1"": 0.08972691807542263, ""2"": 0.09276116168183789, ""3"": 0.8868205510052122, ""4"": 0.918590220898486}","{""1"": 0.005635023840485476, ""2"": 0.012570437798006068, ""3"": 0.004467609828741614, ""4"": 0.0004964010920823769}",nan,nan,nan,nan,27.87708358764648,23.34234532252657,25.759174982706707,23.34234532252657,nan,nan,27.16726080576579,23.355395547092147,29.983681360880528,23.355395547092147,nan,nan,12,0.4578583951916541,0.0,0.1006089744713579,0.4466678232235881,0.21973818876691
347,4,47,permuted-mnist-task4-npz,0,0,1,3,0,none,1,0,0.918590220898486,0.9175974187143212,-0.0009928021841647539,0.35643621025415756,0.3457160338305843,-0.010720176423573221,0.0,0.0,4,"{""1"": 0.08972691807542263, ""2"": 0.09276116168183789, ""3"": 0.8868205510052122, ""4"": 0.918590220898486}","{""1"": 0.082358040745557, ""2"": 0.0788903337667967, ""3"": 0.8758997269793993, ""4"": 0.9175974187143212}","{""1"": -0.007368877329865631, ""2"": -0.013870827915041184, ""3"": -0.010920824025812848, ""4"": -0.0009928021841647539}",nan,nan,nan,nan,30.904757118225103,23.355395547092147,46.012139638264976,23.355395547092147,nan,nan,46.63089370727539,23.40322354254442,35.676567967732744,23.40322354254442,nan,nan,12,0.9591233876143447,0.0,0.1046732967675716,0.9533945529593844,0.1091343388339423
348,4,48,permuted-mnist-task4-npz,0,0,1,4,0,none,1,0,0.9175974187143212,0.16207495656490445,-0.7555224621494168,0.3457160338305843,0.11509619842186626,-0.23061983540871808,0.0,0.0,4,"{""1"": 0.082358040745557, ""2"": 0.0788903337667967, ""3"": 0.8758997269793993, ""4"": 0.9175974187143212}","{""1"": 0.0039011703511053317, ""2"": 0.006068487212830516, ""3"": 0.33531893770166293, ""4"": 0.16207495656490445}","{""1"": -0.07845687039445166, ""2"": -0.07282184655396619, ""3"": -0.5405807892777363, ""4"": -0.7555224621494168}",nan,nan,nan,nan,34.635660425821946,23.40322354254442,38.17686971028646,23.40322354254442,nan,nan,20.816552480061848,23.80251072525896,36.1832670211792,23.80251072525896,nan,nan,12,5.8200864658372495,0.0,2.6864708826324906,5.162972076874882,0.4615860775266964
349,4,49,permuted-mnist-task4-npz,0,0,1,0,0,none,1,0,0.16207495656490445,0.9215686274509803,0.7594936708860759,0.11509619842186626,0.3397517973022419,0.22465559888037565,0.0,0.0,4,"{""1"": 0.0039011703511053317, ""2"": 0.006068487212830516, ""3"": 0.33531893770166293, ""4"": 0.16207495656490445}","{""1"": 0.08192457737321196, ""2"": 0.12050281751192024, ""3"": 0.8168279970215935, ""4"": 0.9215686274509803}","{""1"": 0.07802340702210663, ""2"": 0.11443433029908973, ""3"": 0.48150905931993054, ""4"": 0.7594936708860759}",nan,nan,nan,nan,36.57564894358317,23.80251072525896,42.496344248453774,23.80251072525896,nan,nan,25.08511479695638,23.999512889012127,21.789160919189452,23.999512889012127,nan,nan,12,3.9862139357005737,0.0,2.037068440656035,3.4264053626587514,0.5110283776822708
350,4,50,permuted-mnist-task4-npz,0,0,1,4,0,none,1,0,0.9215686274509803,0.24025812856788284,-0.6813104988830975,0.3397517973022419,0.1410080341881997,-0.19874376311404218,0.0,0.0,4,"{""1"": 0.08192457737321196, ""2"": 0.12050281751192024, ""3"": 0.8168279970215935, ""4"": 0.9215686274509803}","{""1"": 0.005201560468140442, ""2"": 0.011270047680970958, ""3"": 0.40655249441548774, ""4"": 0.24025812856788284}","{""1"": -0.07672301690507152, ""2"": -0.10923276983094929, ""3"": -0.41027550260610574, ""4"": -0.6813104988830975}",nan,nan,nan,nan,22.76910146077474,23.999512889012127,17.240441640218098,23.999512889012127,nan,nan,12.858803272247314,24.27566436836219,16.089307594299317,24.27566436836219,nan,nan,12,4.4555654731645,0.0,1.9700100212035923,3.9963888952419304,0.4421459033804703
351,4,51,permuted-mnist-task4-npz,0,0,1,2,0,none,1,0,0.24025812856788284,0.9329858525688757,0.6927277240009928,0.1410080341881997,0.358607077448791,0.2175990432605913,0.0,0.0,4,"{""1"": 0.005201560468140442, ""2"": 0.011270047680970958, ""3"": 0.40655249441548774, ""4"": 0.24025812856788284}","{""1"": 0.08885999133073255, ""2"": 0.09492847854356307, ""3"": 0.8920327624720774, ""4"": 0.9329858525688757}","{""1"": 0.08365843086259211, ""2"": 0.08365843086259211, ""3"": 0.48548026805658967, ""4"": 0.6927277240009928}",nan,nan,nan,nan,16.335732205708823,24.27566436836219,16.83143679300944,24.27566436836219,nan,nan,25.994627634684246,24.466238414644675,24.005512491861978,24.466238414644675,nan,nan,12,4.308902073201185,0.0,1.8781474558016207,3.8780406406719585,0.4358761057676729
352,4,52,permuted-mnist-task4-npz,0,0,1,0,0,none,1,0,0.9329858525688757,0.9302556465624224,-0.0027302060064532396,0.358607077448791,0.34404275117233607,-0.014564326276454959,0.0,0.0,4,"{""1"": 0.08885999133073255, ""2"": 0.09492847854356307, ""3"": 0.8920327624720774, ""4"": 0.9329858525688757}","{""1"": 0.0788903337667967, ""2"": 0.07932379713914174, ""3"": 0.8739141226110697, ""4"": 0.9302556465624224}","{""1"": -0.00996965756393585, ""2"": -0.015604681404421325, ""3"": -0.0181186398610077, ""4"": -0.0027302060064532396}",nan,nan,nan,nan,23.657867368062337,24.466238414644675,19.660552342732746,24.466238414644675,nan,nan,26.418389002482098,24.49354758568066,30.54998207092285,24.49354758568066,nan,nan,12,0.7127441548089208,0.0,0.12030497173653776,0.7025175755735608,0.16879124286697442
353,4,53,permuted-mnist-task4-npz,0,0,1,4,0,none,1,0,0.9302556465624224,0.26557458426408537,-0.664681062298337,0.34404275117233607,0.10661305448803499,-0.2374296966843011,0.0,0.0,4,"{""1"": 0.0788903337667967, ""2"": 0.07932379713914174, ""3"": 0.8739141226110697, ""4"": 0.9302556465624224}","{""1"": 0.006068487212830516, ""2"": 0.0082358040745557, ""3"": 0.30553487217671876, ""4"": 0.26557458426408537}","{""1"": -0.07282184655396619, ""2"": -0.07108799306458605, ""3"": -0.568379250434351, ""4"": -0.664681062298337}",nan,nan,nan,nan,29.364740816752118,24.49354758568066,30.929553985595703,24.49354758568066,nan,nan,26.46595350901286,24.678441125996006,34.12229347229003,24.678441125996006,nan,nan,12,4.123069174022721,0.0,1.887669388957651,3.6655700364020665,0.45783112271081944
354,4,54,permuted-mnist-task4-npz,0,0,1,4,0,none,1,0,0.26557458426408537,0.26259617771159094,-0.002978406552494428,0.10661305448803499,0.10452373736444587,-0.0020893171235891283,0.0,0.0,4,"{""1"": 0.006068487212830516, ""2"": 0.0082358040745557, ""3"": 0.30553487217671876, ""4"": 0.26557458426408537}","{""1"": 0.006501950585175552, ""2"": 0.0082358040745557, ""3"": 0.29883345743360634, ""4"": 0.26259617771159094}","{""1"": 0.00043346337234503613, ""2"": 0.0, ""3"": -0.006701414743112422, ""4"": -0.002978406552494428}",nan,nan,nan,nan,34.75747807820638,24.678441125996006,26.98545042673747,24.678441125996006,nan,nan,26.519022623697918,24.721943470991985,33.916415023803715,24.721943470991985,nan,nan,12,0.8585827965678764,0.0,0.19717470430816916,0.8356354196318521,0.22965135697585762
355,4,55,permuted-mnist-task4-npz,0,0,1,1,0,none,1,0,0.26259617771159094,0.9493670886075949,0.686770910896004,0.10452373736444587,0.3763327062154387,0.27180896885099287,0.0,0.0,4,"{""1"": 0.006501950585175552, ""2"": 0.0082358040745557, ""3"": 0.29883345743360634, ""4"": 0.26259617771159094}","{""1"": 0.09319462505418293, ""2"": 0.12093628088426528, ""3"": 0.914867212707868, ""4"": 0.9493670886075949}","{""1"": 0.08669267446900737, ""2"": 0.11270047680970958, ""3"": 0.6160337552742616, ""4"": 0.686770910896004}",nan,nan,nan,nan,33.58149115244547,24.721943470991985,32.6514581044515,24.721943470991985,nan,nan,13.8713747660319,24.827746227249435,13.00540402730306,24.827746227249435,nan,nan,12,3.815364121400224,0.0,1.5912572589657756,3.4676942937140276,0.41706563471624125
