exp_code,global_round,lambda_max,opt_drift
A,201,94.7674015045166,2.201502158322549
A,202,133.3612258911133,3.1119285371301664
A,203,122.19444732666015,3.60010204834892
A,204,119.6086929321289,4.031180890363276
A,205,132.31655883789062,4.413237239694514
A,206,142.07616119384767,4.730664450986133
A,207,147.3883819580078,5.020060788509999
A,208,158.5529327392578,5.285275771247948
A,209,163.53280181884764,5.5233544329260695
A,210,186.80514831542968,5.725752469093399
A,211,196.1341354370117,5.908791259622984
A,212,192.11070861816407,6.075880987867592
A,213,234.92047729492188,6.231356307940805
A,214,228.05996856689453,6.380793345191156
A,215,239.88736572265623,6.5183309789553325
A,216,239.2265884399414,6.643827457707629
A,217,230.45108642578128,6.763952387126953
A,218,266.549267578125,6.878355252479698
A,219,245.3064697265625,6.98268768844957
A,220,279.8182571411133,7.052897763848832
A,221,279.6657348632813,7.119568677155225
A,222,277.77760925292966,7.1908899626475
A,223,310.7295623779297,7.253530063231647
A,224,283.25621185302737,7.348536651843964
A,225,329.76573638916017,7.391700870463182
A,226,299.40593872070315,7.427758656666959
A,227,370.7125274658203,7.460314410090406
A,228,339.88889770507814,7.49081012398004
A,229,364.8164764404297,7.519204220782028
A,230,350.0863800048828,7.546236358201039
A,231,370.8275970458984,7.571818997561344
A,232,345.104443359375,7.596323757461677
A,233,462.8245483398438,7.619703431698507
A,234,383.1951080322266,7.642084468415319
A,235,423.520849609375,7.663501861415396
A,236,365.0384826660156,7.684196992474625
A,237,436.80518798828126,7.703984452966654
A,238,433.9336151123047,7.723044011140242
A,239,456.8253997802734,7.741488785110771
A,240,417.3152984619141,7.759227754687572
A,241,439.0693786621094,7.776429216682898
A,242,404.4338989257813,7.793044413770519
A,243,516.1579772949219,7.80916258241422
A,244,446.5552124023437,7.824772463330043
A,245,497.86301879882814,7.839961837464624
A,246,433.3550598144531,7.854695801382419
A,247,453.4076171875,7.869028697776539
A,248,474.61305847167966,7.882971995453727
A,249,534.0170318603516,7.896535618729231
A,250,453.0655151367188,7.909768333106798
A,251,492.2112762451172,7.922660331388355
A,252,472.1205352783203,7.935228426592737
A,253,545.0088745117188,7.947508569877332
A,254,507.08539428710935,7.9594864187278995
A,255,522.9391723632813,7.971185816811067
A,256,430.7518280029297,7.982617849749563
A,257,529.6490509033204,7.993795826203073
A,258,518.0477355957031,8.004729394767716
A,259,571.8752258300781,8.015436820466682
A,260,527.9217834472656,8.025935433983504
A,261,511.04387817382815,8.03623523987604
A,262,479.0345794677734,8.04633315956471
A,263,562.9683776855469,8.056252382576252
A,264,535.4005126953125,8.065987624142378
A,265,598.2239318847656,8.075477557336477
A,266,470.8376037597656,8.084801120655253
A,267,553.3847290039063,8.093970939205548
A,268,542.8830047607422,8.102996918522607
A,269,589.7339599609375,8.111887741900347
A,270,570.4360504150391,8.12064819182488
A,271,522.5763702392578,8.12928488517274
A,272,515.5804779052735,8.137801543778064
A,273,628.1612670898437,8.146199854526241
A,274,525.6839111328125,8.154486236657807
A,275,619.1382141113281,8.162654918267396
A,276,521.3470977783203,8.170710569820486
A,277,576.7454223632812,8.178656733091282
A,278,595.1876647949218,8.18650072265954
A,279,602.8480163574219,8.194249461934618
A,280,556.8019958496094,8.201898967084304
A,281,574.06982421875,8.209442956328788
A,282,531.3808776855469,8.216893289388928
A,283,648.1534301757813,8.224254592802183
A,284,605.0515930175782,8.23153613202546
A,285,646.8773864746094,8.238733328963162
A,286,509.3351440429688,8.245851730244757
A,287,568.1599090576171,8.252890380135627
A,288,605.4208129882812,8.259853534406568
A,289,666.6012451171875,8.266738702095033
A,290,608.762353515625,8.273549762194726
A,291,600.8424743652344,8.280290291390338
A,292,541.3427368164063,8.286956755136085
A,293,643.3319946289063,8.293552363097357
A,294,624.6241088867188,8.300080525161313
A,295,651.1968200683593,8.306495157560617
A,296,564.3673278808594,8.312806958028952
A,297,641.3468078613281,8.319057116922481
A,298,575.50361328125,8.325259895857277
A,299,667.8745361328125,8.33141974102213
A,300,654.6867156982422,8.337528694949178
A,301,609.6235168457031,8.343597990697981
A,302,601.4548645019531,8.349625045583197
A,303,656.8850280761719,8.355607750776606
A,304,607.0535583496094,8.361546419114813
A,305,700.5329833984375,8.367443582345233
A,306,576.6397399902344,8.37329192923032
