exp_code,global_round,lambda_max,opt_drift
A,201,110.7170295715332,0.1182004128712116
A,202,13.923949241638184,6.359559605500018
A,203,34.155086517333984,6.6521004667613015
A,204,35.187801361083984,6.912889561057851
A,205,38.73731994628906,7.187382391299127
A,206,36.89803848266602,7.476013732968437
A,207,40.19848480224609,7.785173709924454
A,208,40.96842575073242,8.108661389604006
A,209,40.1409049987793,8.441100320210628
A,210,39.24539337158203,8.787580164201856
A,211,39.72108612060547,9.15207106468566
A,212,34.27391815185547,9.511569385804933
A,213,37.06365547180176,9.829144190749366
A,214,39.39688568115234,10.13009031622557
A,215,39.53305206298828,10.390418270392138
A,216,41.36539154052734,10.648344004172309
A,217,39.78553924560547,10.888670948524608
A,218,40.91868591308594,11.120260719290249
A,219,44.982747650146486,11.333376203381691
A,220,49.05225143432617,11.523988358213888
A,221,55.089490509033205,11.677520263503109
A,222,59.99744262695312,11.845476735806466
A,223,67.69169921875,11.979713595247338
A,224,63.894911193847655,12.091987693388855
A,225,74.73606719970704,12.198550746522026
A,226,71.45075225830078,12.28896211278792
A,227,76.88724288940429,12.368241800153532
A,228,93.45069885253906,12.44452212734057
A,229,81.86978149414062,12.514105995737063
A,230,92.65187072753906,12.572926950002772
A,231,104.04445037841796,12.6272170963413
A,232,93.8761260986328,12.679202634598148
A,233,122.16612854003908,12.725865779982144
A,234,108.82835998535155,12.769854152630913
A,235,106.03253021240236,12.811311584693671
A,236,113.33350372314452,12.84976498401896
A,237,128.0084701538086,12.885695843253684
A,238,135.0852020263672,12.923044209473812
A,239,115.61302947998048,12.960717540826698
A,240,106.24596710205078,12.997454591780189
A,241,102.4722427368164,13.033291176010186
A,242,112.67675323486328,13.066695911179002
A,243,150.31975708007812,13.098269354660095
A,244,105.71489562988282,13.132206507401866
A,245,116.45612182617188,13.163820664649297
A,246,129.4575988769531,13.192531609421446
A,247,113.99705810546877,13.220735883228386
A,248,144.35550231933593,13.245908168909017
A,249,144.33066101074218,13.269296746796956
A,250,117.57948760986328,13.29141615937483
A,251,128.39545440673828,13.31241254878535
A,252,151.9368698120117,13.332377333442448
A,253,149.93714294433593,13.35137323308983
A,254,139.82758483886718,13.369504668111771
A,255,155.99403076171876,13.386820914371484
A,256,132.6388153076172,13.403390769564858
A,257,140.39856567382813,13.41926111496965
A,258,195.9011260986328,13.434490559385516
A,259,137.30388793945312,13.449113003915842
A,260,149.41257934570314,13.46316330917339
A,261,166.14330139160157,13.476693299805936
A,262,145.35572814941406,13.489730555480918
A,263,181.1017578125,13.50230057306708
A,264,183.95196533203125,13.51443606808704
A,265,142.19109191894532,13.52616517806578
A,266,160.33038635253905,13.53750647030004
A,267,177.73778686523437,13.548482918269997
A,268,188.15484313964845,13.5585578389353
A,269,161.0516387939453,13.568972009677
A,270,181.702880859375,13.579323374978026
A,271,151.8588653564453,13.589538651934395
A,272,169.11744689941406,13.599588156106556
A,273,203.62086181640623,13.60946133900441
A,274,171.83875732421876,13.619137459123673
