global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
741,4,141,cifar100-cl4-task4-npz,0,0,5,3;4;2;0;1,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,176.9753601074219,16.52177778139996,204.2568135579427,16.555455579126384,nan,nan,207.55665588378906,16.55634009155332,177.41915130615234,16.523482943292432,nan,nan,36,1.0653024126065236,0.2038602984009292,1.0652583206021522,0.009358323285550682,0.9999614213290539
742,4,142,cifar100-cl4-task4-npz,0,0,5,2;1;0;3;4,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,227.0958079020182,16.523482943292432,226.60491333007812,16.557138201190018,nan,nan,229.12016805013022,16.558012168185783,227.6488774617513,16.52515730203528,nan,nan,36,1.0656617870588436,0.20380723502883927,1.0656187853788677,0.009235712400958874,0.9999624399568242
743,4,143,cifar100-cl4-task4-npz,0,0,5,4;0;1;3;2,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,186.38627726236976,16.52515730203528,241.82183227539062,16.558829104154253,nan,nan,245.66619669596355,16.559691818614525,186.98330790201825,16.526811369776297,nan,nan,36,1.0661339264637424,0.204026229931922,1.0660922061623328,0.00909524787431646,0.9999635908708215
744,4,144,cifar100-cl4-task4-npz,0,0,5,3;1;0;2;4,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,211.5445556640625,16.526811369776297,215.27213134765626,16.56049852709161,nan,nan,218.32938435872396,16.561350132265506,211.52065175374346,16.528442722439326,nan,nan,36,1.0665719856478035,0.20426850087910475,1.0665316696475817,0.008940147248701878,0.9999648352618891
745,4,145,cifar100-cl4-task4-npz,0,0,5,0;1;4;3;2,1,none,1,0,0.4423407917383821,0.4440619621342513,0.0017211703958692204,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0017211703958692204}",nan,nan,nan,nan,193.8569320678711,16.528442722439326,213.547314453125,16.5621584152394,nan,nan,214.96771443684895,16.562998563328275,194.32493693033857,16.530060062933295,nan,nan,36,1.0670819249606402,0.20451253006339234,1.0670429258581318,0.008796679577555042,0.9999659766865754
746,4,146,cifar100-cl4-task4-npz,0,0,5,2;1;4;0;3,1,none,1,0,0.4440619621342513,0.4423407917383821,-0.0017211703958692204,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": -0.0017211703958692204}",nan,nan,nan,nan,212.93946431477866,16.530060062933295,254.16128438313802,16.56377788109235,nan,nan,265.2627380371094,16.564606984094258,213.57359924316407,16.531648319438617,nan,nan,36,1.0675276625126848,0.2046905154741,1.0674898594689917,0.00866674089780065,0.999967005877774
747,4,147,cifar100-cl4-task4-npz,0,0,5,2;0;4;1;3,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,187.4195536295573,16.531648319438617,205.4564971923828,16.5653596948914,nan,nan,207.4144287109375,16.566178973618076,186.11541137695315,16.533204698703543,nan,nan,36,1.06792997290755,0.2047935613365534,1.0678933039986436,0.008534305659598757,0.9999680149021435
748,4,148,cifar100-cl4-task4-npz,0,0,5,2;0;4;1;3,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,227.88742472330728,16.533204698703543,225.20490214029948,16.566942935049337,nan,nan,229.53166605631512,16.567752472143756,228.3505605061849,16.534746852685206,nan,nan,36,1.068460935838734,0.20494946364757816,1.0684253061868683,0.008415119934863501,0.9999689363405879
749,4,149,cifar100-cl4-task4-npz,0,0,5,0;1;4;2;3,1,none,1,0,0.4423407917383821,0.4406196213425129,-0.0017211703958691649,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": -0.0017211703958691649}",nan,nan,nan,nan,187.225341796875,16.534746852685206,245.87801615397134,16.568504791112083,nan,nan,247.30948893229166,16.569304205939808,186.34861958821614,16.536273420256027,nan,nan,36,1.0689372407292188,0.2050880963438535,1.0689026405065847,0.008294368064219442,0.9999698448796142
750,4,150,cifar100-cl4-task4-npz,0,0,5,4;3;1;2;0,1,none,1,0,0.4406196213425129,0.4406196213425129,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,215.29947102864583,16.536273420256027,228.94017333984374,16.570030638872566,nan,nan,230.89115193684896,16.570820433771363,215.8683024088542,16.53776934672625,nan,nan,36,1.069348089135468,0.20519652398266477,1.0693145162419524,0.008172437075035623,0.9999707375547068
751,4,151,cifar100-cl4-task4-npz,0,0,5,3;4;0;1;2,1,none,1,0,0.4406196213425129,0.4406196213425129,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,199.11753692626954,16.53776934672625,211.60311279296874,16.571544219375014,nan,nan,213.266401163737,16.572325305243208,199.46505686442057,16.539252273311334,nan,nan,36,1.0697354940997204,0.2054029741096298,1.0697028510114999,0.00805724442213158,0.9999715720395541
752,4,152,cifar100-cl4-task4-npz,0,0,5,2;0;1;3;4,1,none,1,0,0.4406196213425129,0.4406196213425129,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,217.66558278401692,16.539252273311334,260.0397969563802,16.573023780074386,nan,nan,263.684477742513,16.573796538472795,218.5082753499349,16.54071183316897,nan,nan,36,1.0700725135959952,0.20552337110906566,1.0700407882267373,0.007942836659395236,0.9999723752847036
753,4,153,cifar100-cl4-task4-npz,0,0,5,3;0;2;4;1,1,none,1,0,0.4406196213425129,0.4423407917383821,0.0017211703958691649,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4406196213425129}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0017211703958691649}",nan,nan,nan,nan,184.92792663574218,16.54071183316897,214.61922098795574,16.574501430253616,nan,nan,215.58702799479167,16.57526574872247,185.2681467692057,16.54215614608697,nan,nan,36,1.0704764564032705,0.20568944809729905,1.0704454221970874,0.00785731733670574,0.9999729895360325
754,4,154,cifar100-cl4-task4-npz,0,0,5,1;0;3;4;2,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,237.20158894856772,16.54215614608697,231.60010782877603,16.575949012960617,nan,nan,233.02468668619792,16.576704819224865,235.56123962402344,16.543577409554867,nan,nan,36,1.0708239907036912,0.20584022388294976,1.0707939115967866,0.007735453071488173,0.9999738173838019
755,4,155,cifar100-cl4-task4-npz,0,0,5,3;1;0;2;4,1,none,1,0,0.4423407917383821,0.4440619621342513,0.0017211703958692204,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0017211703958692204}",nan,nan,nan,nan,189.33695678710941,16.543577409554867,249.92003784179687,16.57738994558077,nan,nan,252.35711975097655,16.578136881069675,188.49735666910806,16.544989276190567,nan,nan,36,1.0712517980099885,0.20595814953512723,1.0712223896336093,0.00765216156627829,0.9999744177197046
756,4,156,cifar100-cl4-task4-npz,0,0,5,0;4;3;1;2,1,none,1,0,0.4440619621342513,0.4440619621342513,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,214.0733459472656,16.544989276190567,224.09628601074218,16.578768513358487,nan,nan,226.75686848958333,16.5795085853497,215.5433135986328,16.546380314052787,nan,nan,36,1.0712113370964762,0.20608482206637163,1.071182559006553,0.007566312673956324,0.9999749604966406
757,4,157,cifar100-cl4-task4-npz,0,0,5,2;3;4;1;0,1,none,1,0,0.4440619621342513,0.4423407917383821,-0.0017211703958692204,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565633,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4440619621342513}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": -0.0017211703958692204}",nan,nan,nan,nan,202.01758117675783,16.546380314052787,218.1891825358073,16.580138146669793,nan,nan,218.93181660970052,16.58087195692147,202.98006947835287,16.547752432724526,nan,nan,36,1.0712970057019398,0.20619001463663383,1.0712687448744318,0.007493003695055905,0.9999754273248422
758,4,158,cifar100-cl4-task4-npz,0,0,5,4;1;0;3;2,1,none,1,0,0.4423407917383821,0.4423407917383821,0.0,0.0,0.0,0.0,0.00016963528413910096,0.0006347171139565634,20,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.4423407917383821}","{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",nan,nan,nan,nan,219.90626322428386,16.547752432724526,274.0735616048177,16.58152464053535,nan,nan,275.29112040201824,16.582250643136494,222.6738301595052,16.549111721261806,nan,nan,36,1.071595141491032,0.20635747812048416,1.0715676058142216,0.0073976604598562385,0.9999760526506016
