global_round,task_idx,round_in_task,dataset,client_id,exp_id,run_seed,probe_status,probe_batch_offset,probe_batch_count,probe_seed,probe_steps,probe_batch_size,grad_alignment,update_alignment,risk_gap_loss_after_P_minus_G,risk_gap_loss_delta_P_minus_G,top_eig_proj_gap_P_minus_G,top_eig_enabled,G_loss_before,G_loss_after,G_loss_delta,G_mean_step_loss,G_U_norm,G_U_P_norm,G_U_S_norm,G_U_P_ratio,G_top_eigval,G_top_eig_proj_abs,G_top_eig_proj_ratio,P_loss_before,P_loss_after,P_loss_delta,P_mean_step_loss,P_U_norm,P_U_P_norm,P_U_S_norm,P_U_P_ratio,P_top_eigval,P_top_eig_proj_abs,P_top_eig_proj_ratio
201,2,1,cifar100-cl4-task2-npz,1,A,0,ok,1,5,2012281,5,64,0.9866003387351694,0.9908883901930103,-0.032266759872436435,1.2395639896392865,0.020668081453948956,1,37.13636779785156,3.489423131942749,-33.64694466590881,19.058971309661864,2.11849374184616,0.7555887993392928,1.9791668197891632,0.3566632199160894,221.45355224609375,0.022814081627361437,0.010769037021864448,35.86453704833984,3.4571563720703127,-32.407380676269526,18.713939952850343,2.058464575415197,0.7623412959739927,1.9120962728617932,0.3703446272908808,255.6409454345703,0.04348216308131039,0.021123644982038496
201,2,1,cifar100-cl4-task2-npz,2,A,0,ok,3,5,2012379,5,64,0.9768151965460966,0.9939562198503491,0.024660587310791016,0.7080445289611816,-0.2529597012524626,1,35.413327026367185,4.215803623199463,-31.19752340316772,18.768243885040285,1.9755550674741051,0.7070129226514246,1.844708798652651,0.35788064544059284,268.2994384765625,0.32175288148436726,0.16286750113120443,34.729943084716794,4.240464210510254,-30.48947887420654,18.678920841217042,1.9358348831241556,0.7006863526711993,1.804576218922505,0.3619556392847057,275.3436279296875,0.06879318023190464,0.035536796764962374
201,2,1,cifar100-cl4-task2-npz,3,A,0,ok,5,5,2012477,5,64,0.9833688078630721,0.991558520773685,-0.10620713233947754,0.5178254604339614,0.07460848507452633,1,37.196266174316406,3.6894693851470945,-33.506796789169314,19.457416248321532,2.0881487305012643,0.7802333690204821,1.93690500814082,0.37364836978485333,276.4334716796875,0.045149910404167375,0.0216220383468803,36.57223358154297,3.583262252807617,-32.98897132873535,19.06477270126343,2.076953174434749,0.7867168703265118,1.9221891308448913,0.3787841151210552,355.6754455566406,0.1197583954786937,0.057660759759264095
201,2,1,cifar100-cl4-task2-npz,0,A,0,ok,1,5,2012187,5,64,0.9920956737868651,0.9934449292086497,-0.17664675712585476,0.6557865619659324,0.057295331141490824,1,38.5818489074707,3.919870710372925,-34.661978197097774,19.304883193969726,2.180507071961329,0.780160625876154,2.036163178310102,0.35778862444782394,243.49295043945312,0.15717363280694355,0.07208144748269098,37.74941558837891,3.74322395324707,-34.00619163513184,18.786745452880858,2.159780247748622,0.7956487878431386,2.0078828962289714,0.36839339959339057,263.2796630859375,0.21446896394843437,0.09930156294901146
201,2,1,cifar100-cl4-task2-npz,4,A,0,ok,6,5,2012576,5,64,0.9770313260641598,0.9898144031310211,-0.11537914276123118,1.303238868713379,-0.16245671454299937,1,39.90254287719726,4.647799873352051,-35.25474300384521,20.145308017730713,2.193522369893139,0.6596628729082001,2.091981185701275,0.30073222956920925,335.9488525390625,0.38434870688399736,0.17522047386854847,38.483924865722656,4.53242073059082,-33.951504135131835,19.694660663604736,2.1339345689396247,0.6798394859415071,2.0227444272251325,0.31858497249004597,331.6053466796875,0.221891992340998,0.1039828832306629
202,2,2,cifar100-cl4-task2-npz,0,A,0,ok,6,5,2022191,5,64,0.9007407809845168,0.9187443347654737,-1.427779173851013,-0.7566564798355102,0.14630638759217154,1,3.842191553115845,2.903834009170532,-0.9383575439453127,3.6232760906219483,0.23305999553235848,0.14639718162752785,0.1813417401732419,0.6281523403126198,8.04994010925293,0.03454341148804407,0.14821699608041577,3.171068859100342,1.476054835319519,-1.6950140237808229,2.697270917892456,0.3378390826250154,0.13667596845890118,0.3089578052011851,0.4045593760097915,12.314929008483887,0.18084979908021562,0.5353144965579316
202,2,2,cifar100-cl4-task2-npz,3,A,0,ok,3,5,2022483,5,64,0.9424991210812382,0.9412737120412038,-0.6604050874710081,-0.12868373394012433,0.026361403781559024,1,3.5651548862457276,2.330424928665161,-1.2347299575805666,3.2573068618774412,0.2749280625598947,0.1527985400532807,0.22855643885159607,0.5557764406805029,8.61062240600586,0.008014288770154705,0.02915054740864391,3.033433532714844,1.670019841194153,-1.363413691520691,2.573580265045166,0.32887913176307143,0.12886708537926203,0.30258016725338377,0.39183722204578075,12.39072036743164,0.03437569255171373,0.10452404783510025
202,2,2,cifar100-cl4-task2-npz,1,A,0,ok,2,5,2022290,5,64,0.9111816147511674,0.920207849503288,-0.11595764160156263,0.5435184478759767,-0.06515721406581591,1,3.551527214050293,1.9775680780410767,-1.5739591360092164,3.1513484001159666,0.311653098475464,0.17060287718040984,0.2608108741734579,0.5474127419698789,13.019657135009766,0.09161578749630236,0.2939678060624958,2.892051124572754,1.861610436439514,-1.0304406881332397,2.387354278564453,0.33733904846259755,0.11215036403844164,0.31815079673591223,0.3324559209769155,18.504878997802734,0.02645857343048645,0.0784333725399863
202,2,2,cifar100-cl4-task2-npz,4,A,0,ok,2,5,2022582,5,64,0.9630144542739807,0.9601548897950769,-0.5059197902679444,-0.0633983135223386,0.027696383708582174,1,3.6547708034515383,2.863322687149048,-0.7914481163024902,3.4581182956695558,0.22004883168379377,0.11154790827365034,0.18968013202540718,0.506923428857081,7.224728107452393,0.009526100063818998,0.04329093126741547,3.2122493267059324,2.3574028968811036,-0.8548464298248288,2.9415045738220216,0.2561427354612616,0.08861866048855319,0.24032443476016413,0.3459737412760226,8.48436164855957,0.03722248377240117,0.14531967491220318
202,2,2,cifar100-cl4-task2-npz,2,A,0,ok,1,5,2022389,5,64,0.9823795798763506,0.9836196940931989,-0.38727917671203604,-0.1958634853363037,0.038060280037399696,1,3.8276997566223145,3.024491882324219,-0.8032078742980957,3.6308274269104004,0.21626119062787147,0.12291349597647719,0.17793587350117201,0.5683566969138285,7.48160457611084,0.038860113992889356,0.1796908958913143,3.636284065246582,2.637212705612183,-0.9990713596343994,3.386163091659546,0.2430793943974729,0.12163059981336428,0.21046042186046146,0.5003739626485115,8.23743724822998,0.07692039403028905,0.31644198531920753
