global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
205,2,5,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.30660377358490565,0.9984276729559748,0.6918238993710691,636
205,2,5,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.6918238993710691,0
205,2,5,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.5759803921568627,0.9828431372549019,0.4068627450980392,408
205,2,5,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.4068627450980392,0
205,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.576,0.936,0.3600000000000001,125
205,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.3600000000000001,0
205,2,5,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.9148936170212766,0.9118541033434651,-0.003039513677811523,658
205,2,5,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.003039513677811523,0
206,2,6,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,D,0,0.8083333333333333,0.925,0.1166666666666667,480
206,2,6,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.1166666666666667,0
206,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.5759803921568627,0.9828431372549019,0.4068627450980392,408
206,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.4068627450980392,0
206,2,6,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.576,0.936,0.3600000000000001,125
206,2,6,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.3600000000000001,0
206,2,6,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.9133738601823708,0.9103343465045592,-0.003039513677811523,658
206,2,6,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.003039513677811523,0
206,2,6,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.3050314465408805,0.9984276729559748,0.6933962264150944,636
206,2,6,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.6933962264150944,0
