exp_id,run_name,seed,freeze_mask,personalization_enabled,probe_enabled,final_acc_current_after,final_acc_old_mean_after,min_delta_agg_old_mean,mean_delta_agg_old_mean_switch_window,max_update_P_norm_mean,max_update_S_norm_mean,probe_rows,pers_rows,theory_rows
A,A_Full_FedALA,0,none,1,1,0.9287664432861752,0.3747841155523624,-0.35877899963022736,-0.04821517652081887,3.2215035290065974,4.935435838057924,9,900,2400
B,B_No_Pers,0,none,0,1,0.9798957557706627,0.28048662799385854,-0.39661898569570875,-0.06880447751250814,2.987605179247987,7.537427098283858,9,900,2400
C,C_Freeze_P,0,freeze_P,1,0,0.9811367585008687,0.3430780288939002,-0.4057217165149545,-0.11355153464215818,0.0,5.4435566181024635,0,900,2400
D,D_Freeze_S,0,freeze_S,1,0,0.8905435591958303,0.37898222283761324,-0.36070726074279635,-0.009266769348988605,26.831268943923885,0.0,0,900,2400
