seed,src_idx,dst_idx,switch_label,src_dataset,dst_dataset,lambda_G,D_G_sq,B_G,B_G_topk,F_global_loss,F_global_acc,D_L_mean_sq,D_L_std_sq,D_L_p90_sq
0,1,2,1->2,permuted-mnist-task1-npz,permuted-mnist-task2-npz,6.961756229400635,50.763259030878544,176.70071739144836,,0.2961068656373536,0.0759973256073101,51.650054330937564,0.46331379511341414,52.38947600349784
0,2,3,2->3,permuted-mnist-task2-npz,permuted-mnist-task3-npz,4.876314640045166,44.83100996911526,109.30505512020376,,5.331007058918341,0.733229329173167,46.10220027156174,0.6931999798456618,46.99534730091691
0,3,4,3->4,permuted-mnist-task3-npz,permuted-mnist-task4-npz,33.35108184814453,40.25310800969601,671.2423499367869,,0.14010951721489195,0.07799751071774297,41.4757146993652,1.6899404035486636,43.208913458883764
1,1,2,1->2,permuted-mnist-task1-npz,permuted-mnist-task2-npz,4.344058513641357,51.419434651732445,111.68451643274187,,0.4043292380425811,0.10764430577223083,52.48554228618741,0.49892242722200253,53.142497579753396
1,2,3,2->3,permuted-mnist-task2-npz,permuted-mnist-task3-npz,2.8971574306488037,43.90533206611872,63.600329520229515,,2.802800062566906,0.6931134388232673,43.89715728815645,0.17603914799770415,44.109860848635435
1,3,4,3->4,permuted-mnist-task3-npz,permuted-mnist-task4-npz,40.9219856262207,541.6231662034988,11082.147711103864,,3.9276808465950497,0.7559120453602545,551.1668368205428,9.244860345421472,560.2062687754631
2,1,2,1->2,permuted-mnist-task1-npz,permuted-mnist-task2-npz,2.7115159034729004,43.893331833183765,59.50873366104555,,0.2838709546717638,0.08558056607978604,45.256154225207865,1.3218382155361699,46.30350152552128
2,2,3,2->3,permuted-mnist-task2-npz,permuted-mnist-task3-npz,2.309490442276001,34.41510955244303,39.74068329062434,,4.041237137494702,0.6507688878983731,35.4650211292319,0.625601526528448,36.13624140508473
2,3,4,3->4,permuted-mnist-task3-npz,permuted-mnist-task4-npz,27.38524627685547,47.30903076380491,647.7847292930646,,0.4069691404819272,0.16387774858249204,48.54373462218791,1.0277722392779782,49.650185362249616
