seed,task_idx,dataset,rounds_trained,best_acc,history_acc_json
0,1,permuted-mnist-task1-npz,24,0.8876755070202809,"[0.08647203030978381, 0.38199242255404503, 0.5065745486962335, 0.6554490751058614, 0.6810786717182973, 0.6917762424782705, 0.7118341876532204, 0.7254290171606864, 0.7568531312681078, 0.7804769333630488, 0.7960775573880098, 0.8081123244929798, 0.8475596166703812, 0.8464452863828839, 0.8582571874303544, 0.8649431691553376, 0.8658346333853354, 0.8718520169378203, 0.8758636059728103, 0.8780922665478048, 0.8798751950078003, 0.8876755070202809, 0.8865611767327836, 0.8870069088477824, 0.8874526409627813]"
0,2,permuted-mnist-task2-npz,29,0.894807220860263,"[0.136394027189659, 0.38199242255404503, 0.49966570091375084, 0.6175618453309561, 0.6750612881658123, 0.6997994205482505, 0.7256518832181859, 0.7555159349231112, 0.7778025406730555, 0.7898373077780254, 0.803209271227992, 0.8159126365054602, 0.8444394918653889, 0.8471138845553822, 0.8446623579228884, 0.858034321372855, 0.8678404279028304, 0.867617561845331, 0.8754178738578114, 0.8665032315578337, 0.8796523289503009, 0.8827724537552931, 0.8845553822152886, 0.8885669712502786, 0.8829953198127926, 0.8894584354802764, 0.894807220860263, 0.8961444172052596, 0.8943614887452641, 0.8965901493202585]"
0,3,permuted-mnist-task3-npz,7,0.9503526483197344,"[0.18088784400497857, 0.6456921587608906, 0.8669616927119347, 0.8788549301618034, 0.9503526483197344, 0.9434379753837644, 0.9439911492186419, 0.9351403678606002]"
1,1,permuted-mnist-task1-npz,25,0.8956986850902607,"[0.10452418096723869, 0.38199242255404503, 0.48049921996879874, 0.6304880766659238, 0.672386895475819, 0.688433251615779, 0.7035881435257411, 0.723200356585692, 0.7470470247381323, 0.7722308892355694, 0.7851571205705371, 0.7920659683530198, 0.8406507688878984, 0.8312903944729217, 0.8386449743704034, 0.8582571874303544, 0.865611767327836, 0.8680632939603299, 0.871183418765322, 0.8783151326053042, 0.8767550702028081, 0.8916870960552707, 0.8956986850902607, 0.8905727657677736, 0.896367283262759, 0.8968130153777579]"
1,2,permuted-mnist-task2-npz,26,0.8997102741252507,"[0.10452418096723869, 0.38199242255404503, 0.4432805883663918, 0.6266993536884332, 0.6788500111433029, 0.6989079563182528, 0.7098283931357254, 0.7359037218631602, 0.7604189881880989, 0.7717851571205705, 0.8000891464229998, 0.8127925117004681, 0.8279474036104302, 0.8453309560953867, 0.8546913305103633, 0.8584800534878538, 0.8658346333853354, 0.8769779362603075, 0.8778694004903054, 0.8825495876977937, 0.8809895252952975, 0.8870069088477824, 0.8959215511477602, 0.8997102741252507, 0.8970358814352574, 0.8965901493202585, 0.8983730777802541]"
1,3,permuted-mnist-task3-npz,16,0.9655649287788688,"[0.27202323330106487, 0.603927534227631, 0.8922693956575855, 0.9427465080901674, 0.9431613884663256, 0.9195132070253077, 0.9572673212557046, 0.9276725210897524, 0.9607246577236896, 0.9611395380998479, 0.9630756465219195, 0.9640437007329553, 0.9637671138155165, 0.9655649287788688, 0.9632139399806389, 0.9647351680265523, 0.9644585811091135]"
2,1,permuted-mnist-task1-npz,25,0.8994874080677513,"[0.13327390238466683, 0.38199242255404503, 0.5030086917762425, 0.6458658346333853, 0.6795186093158012, 0.6893247158457767, 0.7236460887006909, 0.7501671495431246, 0.7751281479830622, 0.7965232895030087, 0.8116781814129708, 0.8426565634053934, 0.8511254735903722, 0.8466681524403833, 0.8526855359928683, 0.8702919545353243, 0.8796523289503009, 0.8821038555827947, 0.8841096501002897, 0.8874526409627813, 0.888789837307778, 0.8921328281702696, 0.8994874080677513, 0.8905727657677736, 0.896367283262759, 0.8981502117227547]"
2,2,permuted-mnist-task2-npz,16,0.8678404279028304,"[0.1352796969021618, 0.38199242255404503, 0.5054602184087363, 0.6369511923334076, 0.6801872074882995, 0.6944506351682639, 0.7080454646757299, 0.7298863383106753, 0.7662135056830844, 0.7909516380655226, 0.8156897704479608, 0.8203699576554491, 0.8386449743704034, 0.8678404279028304, 0.8566971250278582, 0.863605972810341, 0.8613773122353465]"
2,3,permuted-mnist-task3-npz,10,0.9528419305766838,"[0.0, 0.6455538653021712, 0.8911630479878302, 0.8940672106209376, 0.9228322500345734, 0.9417784538791315, 0.9343106071082837, 0.9528419305766838, 0.9486931268151017, 0.9352786613193196, 0.9513207025307703]"
