seed,src_idx,dst_idx,switch_label,client_id,n_c,baseline_local_loss,baseline_local_acc,F_local_loss,F_local_acc,lambda_L,D_L_sq,B_L,B_G,D_G_sq,lambda_G,cos_G_L
0,1,2,1->2,1,374,0.0021352003419393287,0.968,-0.0004927997674542745,0.008000000000000007,1.3013893365859985,51.44865093380213,33.477362853492686,176.70071739144836,50.763259030878544,6.961756229400635,0.9829209446907043
0,1,2,1->2,6,942,0.0013980744265464423,0.9777070063694268,-0.000426250859827961,-0.0031847133757961776,1.187415361404419,51.341459073126316,30.481818590173233,176.70071739144836,50.763259030878544,6.961756229400635,0.9730722308158875
0,1,2,1->2,7,951,0.0015655788836826778,0.9685534591194969,-0.0009751202043852037,-0.0031446540880503138,1.7430644035339355,52.357698395848274,45.63142016238449,176.70071739144836,50.763259030878544,6.961756229400635,0.9613604545593262
0,1,2,1->2,2,1222,0.0010638232303808995,0.9926470588235294,-0.0007995185209371779,0.007352941176470562,2.1843597888946533,51.6555056348443,56.41710469188754,176.70071739144836,50.763259030878544,6.961756229400635,0.9813443422317505
0,1,2,1->2,4,1437,0.0006576746651088776,0.9625,0.0005706236777165455,0.012500000000000067,1.4293078184127808,52.46362375468016,37.49333380741542,176.70071739144836,50.763259030878544,6.961756229400635,0.94779372215271
0,1,2,1->2,3,1905,0.0008625619242856113,0.9984276729559748,-0.0005986356380334634,0.0,2.100769519805908,51.29389950633049,53.87833031744321,176.70071739144836,50.763259030878544,6.961756229400635,0.9858561158180237
0,1,2,1->2,0,1972,0.0012950889106281018,0.9726443768996961,-0.00016427970113405753,0.001519756838905817,2.278027057647705,51.12768657505512,58.23512670645344,176.70071739144836,50.763259030878544,6.961756229400635,0.9562660455703735
0,1,2,1->2,5,4641,0.0008775233296738939,0.9909560723514211,-0.0005828750272617567,-0.0006459948320414188,0.07521767914295197,51.511910773813725,1.9373031883125456,176.70071739144836,50.763259030878544,6.961756229400635,0.9708723425865173
0,2,3,2->3,1,374,0.0013754127194163673,0.968,0.000991468450719401,0.016000000000000014,1.5168986320495605,45.58302911370993,34.57241725363094,109.30505512020376,44.83100996911526,4.876314640045166,0.9551399350166321
0,2,3,2->3,6,942,0.0008435033616880549,0.9713375796178344,0.00029295233751118477,0.006369426751592355,1.1865074634552002,46.66702605038881,27.68538735302229,109.30505512020376,44.83100996911526,4.876314640045166,0.9400287866592407
0,2,3,2->3,7,951,0.0006543590282731187,0.9622641509433962,0.00037805421375297014,0.0062893081761006275,0.4024701714515686,46.96492025256157,9.450989753128852,109.30505512020376,44.83100996911526,4.876314640045166,0.9294891357421875
0,2,3,2->3,2,1222,0.0005214103346025948,0.9975490196078431,0.0006628913753700993,0.002450980392156854,0.10591695457696915,46.080299742519855,2.4403425073607994,109.30505512020376,44.83100996911526,4.876314640045166,0.9567405581474304
0,2,3,2->3,4,1437,0.0006445742349284184,0.9541666666666667,0.0006669656724148169,0.0,1.0852009057998657,47.06634374707937,25.53821943350919,109.30505512020376,44.83100996911526,4.876314640045166,0.9195289015769958
0,2,3,2->3,3,1905,0.0009836900583418725,1.0,-0.0005690954841545883,0.0,0.38166630268096924,45.256154268980026,8.636374536700584,109.30505512020376,44.83100996911526,4.876314640045166,0.9609021544456482
0,2,3,2->3,0,1972,0.0008062567185066548,0.9604863221884499,-0.00025925808785282067,0.00455927051671734,1.751512885093689,45.17510338127613,39.56238782887231,109.30505512020376,44.83100996911526,4.876314640045166,0.9387615323066711
0,2,3,2->3,5,4641,0.0002510895650564588,0.9916020671834626,0.0008755115786259402,0.0025839793281653423,0.5931695699691772,46.02472561597824,13.650233350789595,109.30505512020376,44.83100996911526,4.876314640045166,0.9444565176963806
0,3,4,3->4,6,753,0.0008932482643864196,0.9920318725099602,1.2669431089729869e-05,0.019920318725099584,0.8454904556274414,41.12148566916585,17.383911827250166,671.2423499367869,40.25310800969601,33.35108184814453,0.9738821387290955
0,3,4,3->4,1,988,0.0013983477325190936,0.996969696969697,-0.0005501111377510057,0.0,0.5152112245559692,40.41513491421938,10.411165574874836,671.2423499367869,40.25310800969601,33.35108184814453,0.995232880115509
0,3,4,3->4,4,996,0.0010135753673458535,0.9909638554216867,-0.00037703653567019784,0.0,0.8585842847824097,41.488360181450844,17.81062702659299,671.2423499367869,40.25310800969601,33.35108184814453,0.9656987190246582
0,3,4,3->4,5,1545,0.0015127324304940622,0.9883720930232558,-0.0004443319032967944,0.005813953488372103,1.3090715408325195,42.17751067131758,27.606689441490868,671.2423499367869,40.25310800969601,33.35108184814453,0.9506547451019287
0,3,4,3->4,0,1750,0.0010924677818922126,0.9982876712328768,-0.000598983459858573,0.0,0.5694191455841064,40.419808968901634,11.507906543872386,671.2423499367869,40.25310800969601,33.35108184814453,0.9947773814201355
0,3,4,3->4,2,2349,0.0005854471332336147,0.9948979591836735,-1.7886400288841188e-05,0.0,0.496549129486084,40.35697606578469,10.019610667078059,671.2423499367869,40.25310800969601,33.35108184814453,0.9875314235687256
0,3,4,3->4,3,5996,0.0009210112576991091,1.0,-0.00032614262537297896,0.0,2.1457719802856445,40.21092116087675,43.14173396424222,671.2423499367869,40.25310800969601,33.35108184814453,0.9906142950057983
0,3,4,3->4,7,7303,0.0004394266516846786,0.9885010266940452,-3.1374808820517426e-05,0.004928131416837789,0.5822542309761047,45.61551996320486,13.2799147483755,671.2423499367869,40.25310800969601,33.35108184814453,0.8749226927757263
1,1,2,1->2,1,374,0.001171028553262707,0.976,-0.00014520642572099073,0.016000000000000014,1.1989020109176636,52.08269352465868,31.221023000360834,111.68451643274187,51.419434651732445,4.344058513641357,0.9805281758308411
1,1,2,1->2,6,942,0.0011313585852133902,0.9681528662420382,0.00035757811627595555,0.0,0.8944960832595825,51.827361181378365,23.179685791211337,111.68451643274187,51.419434651732445,4.344058513641357,0.977097749710083
1,1,2,1->2,7,951,0.0011461622714257725,0.9811320754716981,0.00024126754723980673,0.009433962264150941,1.1585134267807007,53.24188840389252,30.840721291534585,111.68451643274187,51.419434651732445,4.344058513641357,0.9607653617858887
1,1,2,1->2,2,1222,0.001245824039050527,0.9926470588235294,-0.0006288306167132844,0.002450980392156854,0.18320515751838684,51.978950046002865,4.761405865409158,111.68451643274187,51.419434651732445,4.344058513641357,0.9819347858428955
1,1,2,1->2,4,1437,0.0006384782757086923,0.9791666666666666,0.0007409288065550277,0.012499999999999956,0.8326029777526855,52.894068874418736,22.01987962514834,111.68451643274187,51.419434651732445,4.344058513641357,0.9450147747993469
1,1,2,1->2,3,1905,0.0004641293949414,1.0,7.094699045324439e-05,0.0015723270440252124,5.498029708862305,52.395285315811634,144.03541763532462,111.68451643274187,51.419434651732445,4.344058513641357,0.9777090549468994
1,1,2,1->2,0,1972,0.0012780424150771344,0.9680851063829787,-0.0006656551567816327,0.00455927051671734,0.42231374979019165,53.099901512265205,11.212409260567293,111.68451643274187,51.419434651732445,4.344058513641357,0.9398349523544312
1,1,2,1->2,5,4641,0.0002676160801022779,0.9903100775193798,0.00019477633894831556,-0.0006459948320413078,0.007414216175675392,52.36418943107128,0.19411971015298957,111.68451643274187,51.419434651732445,4.344058513641357,0.9711511135101318
1,2,3,2->3,1,374,0.0014272339881415215,0.976,0.0007003618310576674,0.008000000000000007,1.1535985469818115,43.837667256593704,25.285534625139316,63.600329520229515,43.90533206611872,2.8971574306488037,0.969278872013092
1,2,3,2->3,6,942,0.0010784346996541708,0.9681528662420382,-3.637924155342658e-06,0.009554140127388533,0.891720175743103,43.75351508706808,19.50794608140943,63.600329520229515,43.90533206611872,2.8971574306488037,0.9633188247680664
1,2,3,2->3,7,951,0.0006779533641300451,0.9716981132075472,0.00011713514899805639,0.0031446540880503138,0.7148877382278442,44.081267684698105,15.756578876664994,63.600329520229515,43.90533206611872,2.8971574306488037,0.952556848526001
1,2,3,2->3,2,1222,0.0009828092440527293,0.9975490196078431,0.0002560387694486635,0.002450980392156854,0.2278573215007782,43.64364267140627,4.97226175982185,63.600329520229515,43.90533206611872,2.8971574306488037,0.9746783971786499
1,2,3,2->3,4,1437,0.0011224470244142633,0.9479166666666666,-5.973773811612164e-05,-0.004166666666666652,1.679962396621704,44.17657823115587,37.10749511987941,63.600329520229515,43.90533206611872,2.8971574306488037,0.9383183121681213
1,2,3,2->3,3,1905,0.00043546763702760307,1.0,-2.5213244911149524e-05,0.0015723270440252124,0.6735712885856628,43.81452663242817,14.756103581287743,63.600329520229515,43.90533206611872,2.8971574306488037,0.9773635268211365
1,2,3,2->3,0,1972,0.0007498828983340363,0.9620060790273556,0.00030367257314255463,0.003039513677811523,0.2814919352531433,44.072520695626736,6.20302957104809,63.600329520229515,43.90533206611872,2.8971574306488037,0.9395071268081665
1,2,3,2->3,5,4641,0.00017420624398204067,0.9909560723514211,9.115601147304778e-05,0.0012919896640826156,0.017757374793291092,43.79754004627466,0.3888646668129374,63.600329520229515,43.90533206611872,2.8971574306488037,0.9682727456092834
1,3,4,3->4,6,753,0.0007514407434286074,0.9880478087649402,0.00023785205951978253,0.03984063745019917,1.842589259147644,541.3319674730301,498.72623444953354,11082.147711103864,541.6231662034988,40.9219856262207,0.9909548759460449
1,3,4,3->4,1,988,0.00044182849230976713,0.996969696969697,0.0008449810280021315,-0.00303030303030305,3.2151694297790527,551.3195011615753,886.292803087867,11082.147711103864,541.6231662034988,40.9219856262207,0.9922725558280945
1,3,4,3->4,4,996,0.0006695490543694016,0.9909638554216867,9.277653851361004e-05,0.030120481927710885,1.1241042613983154,541.3398147821426,304.2611963305907,11082.147711103864,541.6231662034988,40.9219856262207,0.9924489855766296
1,3,4,3->4,5,1545,0.0008385317066913735,0.9903100775193798,0.00047501441333613165,0.03100775193798444,0.4134086072444916,542.9145438075066,112.2227727041199,11082.147711103864,541.6231662034988,40.9219856262207,0.9911233186721802
1,3,4,3->4,0,1750,0.0007067915500228992,1.0,6.861359293855321e-05,0.003424657534246589,2.139726400375366,555.1763126850128,593.9627065575856,11082.147711103864,541.6231662034988,40.9219856262207,0.9848348498344421
1,3,4,3->4,2,2349,0.00042556377911228343,0.9948979591836735,0.00024805826536517184,0.005102040816326592,0.4936946630477905,550.7801488637924,135.95861000336095,11082.147711103864,541.6231662034988,40.9219856262207,0.9945275783538818
1,3,4,3->4,3,5996,0.000155446203694407,1.0,0.0007771826708239902,0.0010005002501251026,0.13168025016784668,555.6613675951958,36.5848139467716,11082.147711103864,541.6231662034988,40.9219856262207,0.9879999160766602
1,3,4,3->4,7,7303,0.0001874153114760627,0.9876796714579056,0.0005749150059441922,0.007802874743326527,0.7881504893302917,570.8110381960869,224.94249953468886,11082.147711103864,541.6231662034988,40.9219856262207,0.9684306979179382
2,1,2,1->2,1,374,0.0018900140209800818,0.96,-0.0003138379542310199,0.0,1.3563416004180908,44.30287639796734,30.044917138371943,59.50873366104555,43.893331833183765,2.7115159034729004,0.9852866530418396
2,1,2,1->2,6,942,0.0008017990419312808,0.9808917197452229,-0.00013637805696988805,0.006369426751592355,0.9536234736442566,44.53318069130182,21.23394323163329,59.50873366104555,43.893331833183765,2.7115159034729004,0.9721806049346924
2,1,2,1->2,7,951,0.0010524394948791887,0.9685534591194969,0.00035620641390015305,0.0062893081761006275,1.3303194046020508,45.3157724365592,30.14222570344273,59.50873366104555,43.893331833183765,2.7115159034729004,0.9586477279663086
2,1,2,1->2,2,1222,0.0009007176354416947,0.9950980392156863,-0.0002982254264743431,0.004901960784313708,1.60033118724823,44.32674537599087,35.468736527204726,59.50873366104555,43.893331833183765,2.7115159034729004,0.9839001893997192
2,1,2,1->2,4,1437,0.001493960660843712,0.9604166666666667,-0.0009306800545720101,0.004166666666666652,3.430694818496704,45.22071625292301,77.56923846880633,59.50873366104555,43.893331833183765,2.7115159034729004,0.9451477527618408
2,1,2,1->2,3,1905,0.00046526392197799855,0.9984276729559748,0.0001146220486262264,0.0,0.3225618600845337,45.14002852886915,7.280225783270476,59.50873366104555,43.893331833183765,2.7115159034729004,0.9753732681274414
2,1,2,1->2,0,1972,0.0007334298243831082,0.9635258358662614,0.0004420007275069206,0.001519756838905817,0.6366814374923706,48.60820273309946,15.473970195015172,59.50873366104555,43.893331833183765,2.7115159034729004,0.9028846621513367
2,1,2,1->2,5,4641,0.0005255597672774573,0.9890180878552972,0.00011657908443560045,-0.0025839793281653423,0.5513836145401001,44.60171138495207,12.296326419054603,59.50873366104555,43.893331833183765,2.7115159034729004,0.969703733921051
2,2,3,2->3,1,374,0.002432718050334961,0.968,-0.0007515648055577619,-0.008000000000000007,2.643770694732666,35.31125335395336,46.677428405731234,39.74068329062434,34.41510955244303,2.309490442276001,0.9454453587532043
2,2,3,2->3,6,942,0.0014501455188904047,0.964968152866242,8.5049920294962e-06,0.009554140127388533,1.6596636772155762,35.22843163833022,29.23367419770434,39.74068329062434,34.41510955244303,2.309490442276001,0.9437271356582642
2,2,3,2->3,7,951,0.0009075184006344389,0.9654088050314465,0.0007797627624137015,0.0062893081761006275,1.7627966403961182,36.84251807630062,32.472933544317996,39.74068329062434,34.41510955244303,2.309490442276001,0.9071648120880127
2,2,3,2->3,2,1222,0.000680400824549635,0.9975490196078431,0.0008921201925877796,0.002450980392156854,0.7943958044052124,35.0970477797091,13.940473751605092,39.74068329062434,34.41510955244303,2.309490442276001,0.955318033695221
2,2,3,2->3,4,1437,0.0013366888030488064,0.9541666666666667,-0.0001896427184585243,0.002083333333333437,1.8899115324020386,35.83355140313506,33.8611210218531,39.74068329062434,34.41510955244303,2.309490442276001,0.9140090346336365
2,2,3,2->3,3,1905,0.000625968571306433,1.0,9.341615078910595e-05,0.0015723270440252124,0.659088134765625,34.53989293053746,11.382416803296167,39.74068329062434,34.41510955244303,2.309490442276001,0.9659976363182068
2,2,3,2->3,0,1972,0.0007561583217187683,0.9635258358662614,-0.00018189542828498913,0.003039513677811523,0.901861310005188,35.54523282125592,16.028435118308636,39.74068329062434,34.41510955244303,2.309490442276001,0.9192715883255005
2,2,3,2->3,5,4641,0.0007831144048695877,0.9903100775193798,-0.0005668791511068283,0.0,0.2668982744216919,35.32224103063345,4.713722589891576,39.74068329062434,34.41510955244303,2.309490442276001,0.9482650756835938
2,3,4,3->4,6,753,0.0007983213191811067,0.9920318725099602,0.0003258493242489517,0.015936254980079667,0.9459580183029175,47.49261561781168,22.46301027692366,647.7847292930646,47.30903076380491,27.38524627685547,0.9742406606674194
2,3,4,3->4,1,988,0.0012722727674133096,1.0,-0.0003573335221731048,0.0,0.4179781377315521,48.622776221483946,10.161628728196927,647.7847292930646,47.30903076380491,27.38524627685547,0.9946563243865967
2,3,4,3->4,4,996,0.0009234025769747023,0.9969879518072289,-0.00042663946159844483,0.009036144578313254,0.9449384212493896,47.20635790005326,22.303550653504992,647.7847292930646,47.30903076380491,27.38524627685547,0.9751220941543579
2,3,4,3->4,5,1545,0.0005206732394707641,0.9903100775193798,0.00017037168425092198,0.005813953488372103,0.3373577892780304,47.31332594901323,7.980759522774987,647.7847292930646,47.30903076380491,27.38524627685547,0.964810848236084
2,3,4,3->4,0,1750,0.0005386476989754426,0.9982876712328768,-8.48082894655298e-05,0.0,1.3398066759109497,48.92543060705066,32.77530927457219,647.7847292930646,47.30903076380491,27.38524627685547,0.9937029480934143
2,3,4,3->4,2,2349,0.0004388790099049101,0.9961734693877551,0.0003952058104302863,0.003826530612244916,0.9311562776565552,49.17747874930501,22.895959028368598,647.7847292930646,47.30903076380491,27.38524627685547,0.991047739982605
2,3,4,3->4,3,5996,0.0004237790628896347,1.0,-0.00016999599753601385,0.0005002501250624958,0.37934350967407227,49.4165444560349,9.372922704958548,647.7847292930646,47.30903076380491,27.38524627685547,0.9896377921104431
2,3,4,3->4,7,7303,0.00014053468528837587,0.9872689938398357,0.000904682376123887,0.002053388090349051,0.008615590631961823,50.19534747675061,0.21623128274438053,647.7847292930646,47.30903076380491,27.38524627685547,0.9008816480636597
