exp_dir,exp_code,global_round,old_task_idx,acc_mean,acc_std,num_seeds
A_Full_FedALA,A,336,0,0.0,,1
A_Full_FedALA,A,337,0,0.0,,1
A_Full_FedALA,A,338,0,0.0,,1
A_Full_FedALA,A,339,0,0.0,,1
A_Full_FedALA,A,340,0,0.0,,1
A_Full_FedALA,A,341,0,0.0,,1
A_Full_FedALA,A,342,0,0.0,,1
A_Full_FedALA,A,343,0,0.0,,1
A_Full_FedALA,A,344,0,0.0,,1
A_Full_FedALA,A,345,0,0.0,,1
A_Full_FedALA,A,346,0,0.0,,1
A_Full_FedALA,A,347,0,0.0,,1
A_Full_FedALA,A,348,0,0.0,,1
A_Full_FedALA,A,349,0,0.0,,1
A_Full_FedALA,A,350,0,0.0,,1
A_Full_FedALA,A,351,0,0.0,,1
A_Full_FedALA,A,352,0,0.0,,1
A_Full_FedALA,A,353,0,0.0,,1
A_Full_FedALA,A,354,0,0.0,,1
A_Full_FedALA,A,355,0,0.0,,1
A_Full_FedALA,A,356,0,0.0,,1
A_Full_FedALA,A,357,0,0.0,,1
A_Full_FedALA,A,358,0,0.0,,1
A_Full_FedALA,A,359,0,0.0,,1
A_Full_FedALA,A,360,0,0.0,,1
A_Full_FedALA,A,361,0,0.0,,1
A_Full_FedALA,A,362,0,0.0,,1
A_Full_FedALA,A,363,0,0.0,,1
A_Full_FedALA,A,364,0,0.0,,1
A_Full_FedALA,A,365,0,0.0,,1
A_Full_FedALA,A,366,0,0.0,,1
A_Full_FedALA,A,367,0,0.0,,1
A_Full_FedALA,A,368,0,0.0,,1
A_Full_FedALA,A,369,0,0.0,,1
A_Full_FedALA,A,370,0,0.0,,1
A_Full_FedALA,A,371,0,0.0,,1
A_Full_FedALA,A,372,0,0.0,,1
A_Full_FedALA,A,373,0,0.0,,1
A_Full_FedALA,A,374,0,0.0,,1
A_Full_FedALA,A,375,0,0.0,,1
A_Full_FedALA,A,376,0,0.0,,1
A_Full_FedALA,A,377,0,0.0,,1
A_Full_FedALA,A,378,0,0.0,,1
A_Full_FedALA,A,379,0,0.0,,1
