exp_id,run_name,global_round,task_idx,round_in_task,client_id,run_seed,probe_batch_offset,probe_batch_count,probe_seed,probe_steps,probe_batch_size,grad_alignment,update_alignment,risk_gap_loss_after_P_minus_G,risk_gap_loss_delta_P_minus_G,top_eig_proj_gap_P_minus_G,top_eig_enabled,G_loss_before,G_loss_after,G_loss_delta,G_mean_step_loss,G_U_norm,G_U_P_norm,G_U_S_norm,G_U_P_ratio,G_top_eigval,G_top_eig_proj_abs,G_top_eig_proj_ratio,P_loss_before,P_loss_after,P_loss_delta,P_mean_step_loss,P_U_norm,P_U_P_norm,P_U_S_norm,P_U_P_ratio,P_top_eigval,P_top_eig_proj_abs,P_top_eig_proj_ratio,seed
A,A_Full_FedALA,101,2.0,1.0,2.0,0.0,4.0,5.0,1011678.0,5.0,64.0,0.9999999999999984,0.9999878270331314,0.0001451849937439,0.0001451849937439,6.717209753842601e-05,1.0,1.175311315059662,0.5342196881771087,-0.6410916268825532,0.8250149309635162,0.425436511380364,0.1043138687777641,0.4124498054261997,0.2451925633722971,152.47222900390625,0.2477173237296905,0.5822687212029203,1.175311315059662,0.5343648731708527,-0.6409464418888092,0.8250140607357025,0.4255298560810692,0.1043053839665825,0.4125482338975156,0.2451188382571816,152.47225952148438,0.247784495827229,0.5822988546485968,0.0
A,A_Full_FedALA,102,2.0,2.0,3.0,0.0,25.0,5.0,1021782.0,5.0,64.0,0.3448933425218472,0.4306631670748284,-0.4009979993104935,2.807512494921684,0.3158427808243679,1.0,4.134943580627441,0.6455013990402222,-3.489442181587219,2.430496907234192,0.8681686348145683,0.4257136190580279,0.7566271823192103,0.4903582115109072,46.67544555664063,0.0105665783384655,0.0121711417526879,0.9264330863952636,0.2445033997297287,-0.681929686665535,0.4891162991523742,0.4280157864559729,0.1665671139802911,0.3942751704023495,0.3891611460387935,35.39672088623047,0.3264093591628334,0.7626125579596861,0.0
A,A_Full_FedALA,103,2.0,3.0,0.0,0.0,8.0,5.0,1031498.0,5.0,64.0,0.7157426609039119,0.7242060411073898,-0.6620490789413453,3.1317500829696656,0.2849895938835352,1.0,6.606517124176025,1.9447850465774537,-4.661732077598572,3.5855726480484007,1.1671428287912284,0.4293272155231186,1.0853112571101236,0.3678446244384596,53.15129852294922,0.1735397275176344,0.1486882551143621,2.8127179622650145,1.2827359676361083,-1.5299819946289062,1.9193739891052248,0.6573402607915063,0.2710103203072077,0.598873630029266,0.4122831605970258,55.30554962158203,0.4585293214011696,0.6975547795040762,0.0
A,A_Full_FedALA,201,3.0,1.0,3.0,0.0,48.0,5.0,2012475.0,5.0,64.0,0.7002892816502889,0.7634903406107922,-0.0543655708432197,7.574064891040327,-0.1934804411327295,1.0,13.125597763061524,0.1168187156319618,-13.008779047429565,4.635339999198914,1.9481234779618148,0.9662273367035066,1.69162342712345,0.4959784878286599,101.81082916259766,0.5245855251733914,0.2692781757936916,5.497167301177979,0.062453144788742,-5.434714156389236,1.949407821893692,1.3768587144315183,0.6483040882081761,1.2146776233711474,0.470857380944405,86.72967529296875,0.3311050840406618,0.2404793287992211,0.0
A,A_Full_FedALA,202,3.0,2.0,4.0,0.0,9.0,5.0,2022579.0,5.0,64.0,0.8543300702411509,0.7460010028824958,-0.9772865891456604,6.33181756734848,-0.3447970419709321,1.0,11.807170486450197,1.7893969535827636,-10.017773532867432,4.868722581863404,1.842132385849456,0.5304345172544489,1.7641119436987125,0.2879459268664687,60.80448913574219,1.1188979640641212,0.6073951463198968,4.498066329956055,0.8121103644371033,-3.685955965518952,2.3551167964935305,0.9898762968987412,0.6410645374150148,0.7542488594826233,0.6476208587101308,46.714839935302734,0.7741009220931891,0.782019319276985,0.0
A,A_Full_FedALA,203,3.0,3.0,2.0,0.0,12.0,5.0,2032392.0,5.0,64.0,0.0247449878714196,-0.0130964519100604,-2.2895113648846745,13.386193305067716,0.1010446187004303,1.0,16.64417953491211,2.3200352668762205,-14.324144268035887,6.426678133010864,2.140122296961192,0.6170300263192028,2.0492431267594804,0.2883153113235862,60.55654144287109,0.3334735412034609,0.1558204171147289,0.9684748649597168,0.0305239019915461,-0.9379509629681706,0.3735787838697433,0.5173739169331879,0.3026530937320486,0.4196151507955939,0.5849794197695268,46.85181427001953,0.4345181599038913,0.8398547829427379,0.0
A,A_Full_FedALA,301,4.0,1.0,0.0,0.0,8.0,5.0,3012884.0,5.0,64.0,0.850976533882349,0.9826472650793072,0.0164772958494722,0.2624201745726169,-0.0644630022129069,1.0,1.848015403747559,0.0821087721735239,-1.7659066315740348,0.8068353593349457,0.7014454402706576,0.1455825054886114,0.6861715818745011,0.2075464421469899,113.4528350830078,0.1087904301824059,0.1550950998902848,1.602072525024414,0.0985860680229961,-1.503486457001418,0.7290091753005982,0.6750310266087781,0.1361512845532689,0.6611578590616584,0.2016963357033591,106.33499145507812,0.044327427969499,0.0656674443577111,0.0
A,A_Full_FedALA,302,4.0,2.0,4.0,0.0,14.0,5.0,3023279.0,5.0,64.0,0.223613225017774,0.2007500520013419,-0.9401715457439423,7.930383068323134,-1.0500919052294853,1.0,10.24548168182373,1.475801396369934,-8.769680285453795,4.364259099960327,1.6519796199076549,0.8417924744785288,1.4214155249263165,0.5095658955678128,64.10387420654297,1.0887807408578996,0.6590787279474442,1.3749270677566527,0.5356298506259918,-0.839297217130661,0.9946478009223938,0.4151069265693471,0.2346799733268945,0.3424019138456112,0.5653482471753551,45.11898040771485,0.0386888356284142,0.0932023512311343,0.0
A,A_Full_FedALA,303,4.0,3.0,1.0,0.0,10.0,5.0,3032995.0,5.0,64.0,-0.0295721378242559,0.0209474956188313,-0.5318627018481493,7.846203183755279,-0.6780167520587388,1.0,8.42908592224121,0.5644699990749359,-7.864615923166275,3.240776979923248,1.5048069445889176,0.9444108477667648,1.1715511474551563,0.6275960189857649,34.547298431396484,0.7112714874386588,0.4726673786117304,0.051020036637783,0.0326072972267866,-0.0184127394109964,0.0469714164733886,0.0555775783596233,0.0287590175491499,0.0475582393064309,0.5174571904256566,5.071022033691406,0.0332547353799199,0.5983494326954694,0.0
B,B_No_Pers,101,2.0,1.0,2.0,0.0,4.0,5.0,1011678.0,5.0,64.0,0.999999999999998,0.999999364736726,-2.980232238769531e-07,-2.980232238769531e-07,-0.0001698316722309,1.0,1.358250117301941,0.6388389289379119,-0.7194111883640291,0.8799839854240418,0.4708690038782257,0.0950965586779347,0.4611661992610545,0.2019596913249492,53.26095581054688,0.3312752562262125,0.7035409642789595,1.358250117301941,0.6388386309146881,-0.7194114863872529,0.8799680948257447,0.4708533035108878,0.0950980016693678,0.4611498709808007,0.2019694902001826,53.26093673706055,0.3311054245539816,0.7032037866359853,0.0
