exp_dir,exp_code,global_round,old_task_idx,acc_mean,acc_std,num_seeds
A_Full_FedALA,A,201,0,0.9878630255743389,,1
A_Full_FedALA,A,202,0,0.882531426094495,,1
A_Full_FedALA,A,203,0,0.8990030342436064,,1
A_Full_FedALA,A,204,0,0.9150411790203727,,1
A_Full_FedALA,A,205,0,0.918075422626788,,1
A_Full_FedALA,A,206,0,0.9211096662332033,,1
A_Full_FedALA,A,207,0,0.9237104464672735,,1
A_Full_FedALA,A,208,0,0.9284785435630689,,1
A_Full_FedALA,A,209,0,0.9267446900736888,,1
A_Full_FedALA,A,210,0,0.9276116168183789,,1
A_Full_FedALA,A,211,0,0.9302123970524491,,1
A_Full_FedALA,A,212,0,0.9250108365843086,,1
A_Full_FedALA,A,213,0,0.9124403987863026,,1
A_Full_FedALA,A,214,0,0.9120069354139575,,1
A_Full_FedALA,A,215,0,0.9072388383181621,,1
A_Full_FedALA,A,216,0,0.8929345470307759,,1
A_Full_FedALA,A,217,0,0.8968357173818813,,1
A_Full_FedALA,A,218,0,0.8925010836584308,,1
A_Full_FedALA,A,219,0,0.8790637191157347,,1
A_Full_FedALA,A,220,0,0.8690940615517989,,1
A_Full_FedALA,A,221,0,0.8781967923710446,,1
A_Full_FedALA,A,222,0,0.8773298656263546,,1
A_Full_FedALA,A,223,0,0.8751625487646294,,1
A_Full_FedALA,A,224,0,0.8630255743389683,,1
A_Full_FedALA,A,225,0,0.8643259644560035,,1
A_Full_FedALA,A,226,0,0.8617251842219332,,1
A_Full_FedALA,A,227,0,0.8630255743389683,,1
A_Full_FedALA,A,228,0,0.8638925010836584,,1
A_Full_FedALA,A,229,0,0.8651928912006935,,1
A_Full_FedALA,A,230,0,0.8651928912006935,,1
A_Full_FedALA,A,231,0,0.8647594278283485,,1
A_Full_FedALA,A,232,0,0.8643259644560035,,1
A_Full_FedALA,A,233,0,0.8634590377113134,,1
A_Full_FedALA,A,234,0,0.8630255743389683,,1
A_Full_FedALA,A,235,0,0.8612917208495882,,1
A_Full_FedALA,A,236,0,0.8625921109666234,,1
A_Full_FedALA,A,237,0,0.857824013870828,,1
A_Full_FedALA,A,238,0,0.8569570871261378,,1
A_Full_FedALA,A,239,0,0.858690940615518,,1
A_Full_FedALA,A,240,0,0.8517555266579974,,1
A_Full_FedALA,A,241,0,0.8565236237537928,,1
A_Full_FedALA,A,242,0,0.8530559167750326,,1
A_Full_FedALA,A,243,0,0.8556566970091027,,1
A_Full_FedALA,A,244,0,0.8526224534026875,,1
A_Full_FedALA,A,245,0,0.8543563068920677,,1
A_Full_FedALA,A,246,0,0.8521889900303424,,1
A_Full_FedALA,A,247,0,0.8513220632856524,,1
A_Full_FedALA,A,248,0,0.8495882097962723,,1
A_Full_FedALA,A,249,0,0.846987429562202,,1
A_Full_FedALA,A,250,0,0.8452535760728218,,1
A_Full_FedALA,A,251,0,0.8439531859557867,,1
A_Full_FedALA,A,252,0,0.8430862592110967,,1
A_Full_FedALA,A,253,0,0.8426527958387516,,1
A_Full_FedALA,A,254,0,0.8422193324664066,,1
A_Full_FedALA,A,255,0,0.8417858690940615,,1
A_Full_FedALA,A,256,0,0.8413524057217165,,1
A_Full_FedALA,A,257,0,0.8413524057217165,,1
