global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
205,2,5,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.13050314465408797,0
205,2,5,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.09803921568627451,0.9803921568627451,0.8823529411764706,408
205,2,5,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8823529411764706,0
205,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.232,0.848,0.616,125
205,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.616,0
205,2,5,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.7553191489361702,0.8419452887537994,0.08662613981762912,658
205,2,5,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.08662613981762912,0
206,2,6,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.79375,0.8958333333333334,0.10208333333333341,480
206,2,6,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.10208333333333341,0
206,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.10294117647058823,0.9852941176470589,0.8823529411764707,408
206,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8823529411764707,0
206,2,6,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.224,0.84,0.616,125
206,2,6,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.616,0
206,2,6,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.7477203647416414,0.8465045592705167,0.09878419452887532,658
206,2,6,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.09878419452887532,0
206,2,6,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.8883647798742138,0.9921383647798742,0.10377358490566035,636
206,2,6,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.10377358490566035,0
207,2,7,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.7462006079027356,0.8449848024316109,0.09878419452887532,658
207,2,7,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.09878419452887532,0
207,2,7,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.825,0.9104166666666667,0.0854166666666667,480
207,2,7,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.0854166666666667,0
