global_round,task_idx,round_in_task,dataset,client_id,exp_id,run_seed,probe_status,probe_batch_offset,probe_batch_count,probe_seed,probe_steps,probe_batch_size,grad_alignment,update_alignment,risk_gap_loss_after_P_minus_G,risk_gap_loss_delta_P_minus_G,top_eig_proj_gap_P_minus_G,top_eig_enabled,G_loss_before,G_loss_after,G_loss_delta,G_mean_step_loss,G_U_norm,G_U_P_norm,G_U_S_norm,G_U_P_ratio,G_top_eigval,G_top_eig_proj_abs,G_top_eig_proj_ratio,P_loss_before,P_loss_after,P_loss_delta,P_mean_step_loss,P_U_norm,P_U_P_norm,P_U_S_norm,P_U_P_ratio,P_top_eigval,P_top_eig_proj_abs,P_top_eig_proj_ratio
201,2,1,permuted-mnist-task2-npz,1,A,0,ok,1,5,2012281,5,64,0.9554435118408885,0.9525793264914493,0.1895545601844788,3.0127510666847224,-0.10074471979674396,1,7.629644870758057,1.4255079627037048,-6.204136908054352,3.1213096618652343,1.1455039326274026,0.4098448741526253,1.06967585688173,0.35778565439947513,756.8197631835938,0.1550048722560587,0.1353162239739208,4.806448364257813,1.6150625228881836,-3.1913858413696294,2.9616733312606813,1.030246263369955,0.33524183585254397,0.9741767163517975,0.32539971050769567,797.882080078125,0.054260152459314724,0.05266731398614645
201,2,1,permuted-mnist-task2-npz,2,A,0,ok,13,5,2012379,5,64,0.8349155113216501,0.8850429677180889,0.0686537146568299,5.565928637981415,-0.05997755722759568,1,7.09186544418335,0.9553403496742249,-6.136525094509125,2.642546367645264,1.173974865736178,0.458872044861531,1.0805801366973549,0.3908704166109978,799.4255981445312,0.3804550830654995,0.32407505544695764,1.5945905208587647,1.0239940643310548,-0.57059645652771,2.0106611490249633,0.49579410505940313,0.15303426467934855,0.47158488996754927,0.30866495409562045,897.7703857421875,0.32047752583790384,0.6463938676453023
201,2,1,permuted-mnist-task2-npz,3,A,0,ok,22,5,2012477,5,64,0.3757575857778194,0.5264207239205854,-0.5397524297237396,1.390762710571289,-0.6564909083267773,1,2.6984591484069824,0.7485637724399566,-1.9498953759670257,1.2064119309186936,0.8531127577915442,0.3302100156762182,0.7866147233899233,0.3870649133540646,660.7221069335938,0.7111981737592296,0.83365294514269,0.7679440081119537,0.20881134271621704,-0.5591326653957367,0.5467947363853455,0.21540535558674323,0.07565554265554149,0.2016821907877511,0.3512240559159355,157.93511962890625,0.05470726543245233,0.25397410160294526
201,2,1,permuted-mnist-task2-npz,0,A,0,ok,27,5,2012187,5,64,0.9656938532324737,0.9488580917249689,0.22217416763305664,1.5405941009521484,0.45668782421455617,1,6.418467903137207,1.8393915891647339,-4.5790763139724735,3.5554813861846926,0.8741508219944877,0.23392363999554083,0.84227037834942,0.267601006725071,560.7453002929688,0.08209159279810589,0.09391042310683727,5.100047969818116,2.0615657567977905,-3.038482213020325,3.6453569412231444,0.865184093615391,0.22631130273731895,0.8350609020295604,0.26157589397114117,441.057861328125,0.5387794170126621,0.6227359648612256
201,2,1,permuted-mnist-task2-npz,4,A,0,ok,16,5,2012576,5,64,0.9774106755573991,0.9393383541856034,-0.05539495944976802,0.09317691326141331,-0.0022620877502217,1,3.695804214477539,1.5356156826019287,-2.1601885318756104,2.7286311864852903,0.45967231694113864,0.12769019028301237,0.44158108458982104,0.27778525174724716,802.0743408203125,0.11765230859798548,0.2559489027870673,3.5472323417663576,1.4802207231521607,-2.067011618614197,2.615904712677002,0.42900905988295224,0.10522495609004917,0.41590441459246585,0.24527443807017205,796.1939697265625,0.11539022084776378,0.26896992833487743
202,2,2,permuted-mnist-task2-npz,0,A,0,ok,11,5,2022191,5,64,0.990700848776656,0.9889121239774293,-0.06192572116851802,0.15383968353271493,0.03410955115095368,1,1.7023061513900757,0.8679685354232788,-0.8343376159667969,1.3793154120445252,0.26865792576774145,0.053279712152626404,0.26332176771159377,0.19831803584491733,19.97469139099121,0.05533038616744784,0.2059517992728332,1.4865407466888427,0.8060428142547608,-0.680497932434082,1.1982791781425477,0.2544467846276229,0.04073494641687348,0.25116494649482907,0.16009220346929542,19.707931518554688,0.08943993731840152,0.35150876893980953
202,2,2,permuted-mnist-task2-npz,3,A,0,ok,23,5,2022483,5,64,0.8738062925045489,0.9041698376188048,-0.19215509444475176,0.4759266898036002,-0.006212137422406852,1,1.6633724451065064,0.3657156765460968,-1.2976567685604095,1.228312575817108,0.320631079590566,0.12189706906691879,0.2965558863895753,0.38017858163405943,34.70719528198242,0.12931867857588614,0.4033263534643447,0.9952906608581543,0.17356058210134506,-0.8217300787568093,0.6739253759384155,0.2732038308421664,0.07777336678628662,0.2619000507933528,0.28467158218924354,29.138023376464844,0.12310654115347928,0.45060462090975306
202,2,2,permuted-mnist-task2-npz,1,A,0,ok,0,5,2022290,5,64,0.8219528376362422,0.8781844158630162,-0.5086605191230775,-0.0750657916069033,-0.04862886588497663,1,1.9785778045654296,1.4127268552780152,-0.5658509492874144,1.8336627960205079,0.18489034913497102,0.07466134453944895,0.16914527730567347,0.4038141789896341,22.261924743652344,0.06654427203187405,0.3599128240224812,1.5449830770492554,0.9040663361549377,-0.6409167408943177,1.3592567443847656,0.2054766522879359,0.06316654076164355,0.1955265781515775,0.30741468706050556,19.65508270263672,0.01791540614689742,0.08718974902658348
202,2,2,permuted-mnist-task2-npz,4,A,0,ok,12,5,2022582,5,64,0.975050694259213,0.9771748837273935,-0.08453067541122428,0.12759302854537968,0.011182545936467857,1,1.8417607069015502,1.1176970839500426,-0.7240636229515076,1.6124688386917114,0.232039867008418,0.0657989978060292,0.2225151495269625,0.2835676414318862,20.068269729614258,0.016054765097254772,0.06918987906019963,1.6296370029449463,1.0331664085388184,-0.5964705944061279,1.4033119678497314,0.2289615262220419,0.05531716220090131,0.22217873898275226,0.24160025098284124,26.2729549407959,0.02723731103372263,0.1189605956148594
202,2,2,permuted-mnist-task2-npz,2,A,0,ok,10,5,2022389,5,64,0.6240952549719783,0.7462885463067456,-0.7327060222625732,0.10335683822631836,-0.10436309769126438,1,2.1682392597198485,1.2354601621627808,-0.9327790975570678,1.9270464420318603,0.24124305149710729,0.09976990704021145,0.21964556800633042,0.4135659303787003,30.144445419311523,0.11556838767263995,0.4790546974996053,1.332176399230957,0.5027541399002076,-0.8294222593307494,1.0338160514831543,0.2599133276852611,0.07588500019282984,0.24858882648695244,0.2919627126025254,22.82723617553711,0.011205289981375568,0.04311177450565686
